region,city,place_type,company_name,call_num,_address,open_time,dayoff
서울특별시,,식당,카페 구할구,,,,
서울특별시,,식당,카페가가,,,평일 08:00~17:00,공휴일
서울특별시,,식당,국민식당,,,"토요일 17:30~23:00, 평일 17:30~23:00",일요일
서울특별시,,식당,현창신동 매운족발(외대점),,,,
서울특별시,,식당,에이머그,,,매일 11:00~23:00,
서울특별시,,식당,동꾼,,,"토요일 18:00~01:00, 평일 18:00~01:00",일요일
서울특별시,,식당,블루뮤지엄,,,매일 10:30~23:00,연중무휴
서울특별시,,식당,용마쉼터,,,매일 11:00~22:00,
서울특별시,,식당,블랙보틀,,,매일 10:00~22:00,목요일
서울특별시,,식당,내고기,,,"매일 18:00~22:00, 토요일 15:00~22:00",일요일
서울특별시,,식당,펍다이나마이트,,,,월요일
서울특별시,,식당,스윗솔트,,,,
서울특별시,,식당,베이스캠프,,,"평일 17:00~01:00, 주말 17:00~02:00",
서울특별시,,식당,하카타분코,,,"평일 11:30~03:00, 토요일 11:30~03:00",
서울특별시,,식당,스페이스플라토,,,,월요일
서울특별시,,식당,빈스팩토리,,,"평일 07:30~23:00, 토요일 12:00~22:00",
서울특별시,,식당,샴락앤롤,,,,연중무휴
서울특별시,,식당,bistro 문화식당,,,"매일 11:30~22:00, 매일 16:00~17:00",
서울특별시,,식당,서정적 살롱,,,"매일 09:00~24:00, 매일 09:30~19:30",
서울특별시,,식당,모과나무,,,매일 10:00~22:00,연중무휴
서울특별시,,식당,중경삼림,,,매일 18:00~02:00,
서울특별시,,식당,인생감성술집,,,매일 17:00~05:00,
서울특별시,,식당,에고,,,"평일 11:30~20:00, 주말 13:30~20:00",
서울특별시,,식당,밀히,,,,
서울특별시,,식당,더까페,,,,연중무휴
서울특별시,,식당,커피오스,,,"평일 07:00~19:00, 토요일 10:00~17:00",일요일
서울특별시,,식당,까페나무야,,,평일 10:00~24:00,"주말, 공휴일"
서울특별시,,식당,버거 4.5,,,,
서울특별시,,식당,빨간리본샌드위치,,,,
