Id,region,city,place_type,company_name,call_num,_address,open_time,homepage,parking,wifi,reservation
,서울특별시,영등포구,식당,예가원,,,매일 10:00~22:00,http://www.yegawon.co.kr/,N,N,
,서울특별시,종로구,식당,종가집,,,매일 11:30~22:30 / 휴무 일,https://www.instagram.com/insajonggajib/,N,N,전화예약 / 온라인예약
,서울특별시,종로구,식당,종로돈가,,,,,N,N,
,서울특별시,종로구,식당,창신육회(4호점),,,휴무 목,http://instagram.com/changsin4,N,Y,전화예약
,서울특별시,중구,식당,덕화장,,,매일 11:00~21:00,,Y,N,전화예약
,서울특별시,중구,카페,카페 구할구,,,,http://instagram.com/cafe_guhalgu,N,Y,전화예약
,서울특별시,서대문구,카페,카페가가,,,평일 08:00~17:00 / 휴무 공휴일,,N,Y,전화예약
,서울특별시,서초구,카페,카페디로마,,,,,N,Y,전화예약
,서울특별시,도봉구,카페,카페아크,,,매일 10:00~18:00 / 휴무 주말,http://blog.naver.com/dcbop,Y,Y,전화예약
,서울특별시,서초구,카페,카페3,,,"평일 07:30~24:00, 토요일 07:30~22:00 / 연중무휴",,Y,Y,전화예약
,서울특별시,용산구,동물병원,이수의과의원,02-754-4978,서울특별시 용산구 후암로 13-2 (후암동),,,,,
,서울특별시,용산구,동물병원,남산동물병원,02-778-7582,"서울특별시 용산구 후암로 51, 지상1층 (후암동)",,,,,
,서울특별시,용산구,동물병원,효창동물병원,02-711-4527,서울특별시 용산구 백범로 293 (효창동),,,,,
,서울특별시,용산구,동물병원,21세기동물병원,02-749-6750,"서울특별시 용산구 보광로 46 (보광동, 용호빌딩 202호,203호(2층))",,,,,
,서울특별시,용산구,동물병원,한남동물병원,02-793-9230,서울특별시 용산구 대사관로24길 28 (한남동),,,,,
,강원도,춘천시,숙박,헤이춘천,033-243-5566,강원도 춘천시 남춘로 49,,,,,
,강원도,평창군,숙박,라마다호텔&스위트평창,033-333-1000,강원도 평창군 대관령면 오목길 107,,,,,
