구별,동별,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지전화번호
중원구,은행동,동물병원 Dr.정,2021-01-18,"경기도 성남시 중원구 산성대로 498, 1층 102호 (은행동)",경기도 성남시 중원구 은행동 1633,031-733-9325
분당구,금곡동,동물병원루니,2018-11-21,"경기도 성남시 분당구 미금로 251, 112·201·202·203호 (금곡동, 청솔마을성원아파트)",경기도 성남시 분당구 금곡동 143번지 청솔마을성원아파트,031-719-9545
중원구,상대원동,상대원 동물병원,2021-03-29,"경기도 성남시 중원구 희망로 350, 1층 (상대원동)",경기도 성남시 중원구 상대원동 2999-26,031-733-1777
중원구,금광동,지음동물의료센터,2021-02-09,"경기도 성남시 중원구 광명로 321, 정성빌딩 1층 (금광동)",경기도 성남시 중원구 금광동 3704 정성빌딩,031-735-0922
분당구,구미동,뉴욕동물병원,2021-04-23,"경기도 성남시 분당구 성남대로 52, 그랜드프라자 102호 (구미동)",경기도 성남시 분당구 구미동 177 그랜드프라자 102호,
수정구,신흥동,모아 동물병원,2020-11-18,"경기도 성남시 수정구 수정로 291, 포레스티아 서문상가 1층 101호 (신흥동)",경기도 성남시 수정구 신흥동 6953,031-733-2010
분당구,운중동,고양이병원 소설,2020-11-12,"경기도 성남시 분당구 운중로146번길 31-2, 1층 (운중동)",경기도 성남시 분당구 운중동 1026-5,031-8039-5382
중원구,하대원동,성남동물병원,2001-04-24,"경기도 성남시 중원구 둔촌대로 243, 3호 (하대원동)",경기도 성남시 중원구 하대원동 127-3번지 3호,031-752-7582
분당구,이매동,아름동물병원,2005-04-08,"경기도 성남시 분당구 성남대로779번길 52, 신흥코아 102호 (이매동)",경기도 성남시 분당구 이매동 137-4번지 신흥코아 102호,031-706-7595
수정구,신흥동,고려애견종합병원,2004-12-09,경기도 성남시 수정구 시민로 146 (신흥동),경기도 성남시 수정구 신흥동 3777번지,031-735-1942
분당구,수내동,펫토피아 동물병원,2011-05-06,"경기도 성남시 분당구 불정로 266, 2층 (수내동, 그린플라자)",경기도 성남시 분당구 수내동 87-1번지,031-714-8392
