시설명,소재지지번주소,주변 상세설명,관리부서명,데이터기준일자
화정천1,경기도 안산시 단원구 와동 879,와동 792-18번지 앞 계단(화정초교 건너편),안산시청,2022-09-15
화정천2,경기도 안산시 단원구 와동 879,선부동 온누리병원 화정5교 계단,안산시청,2022-09-15
화정천3,경기도 안산시 단원구 와동 879,선부동 수정한양A 216동 계단,안산시청,2022-09-15
화정천4,경기도 안산시 단원구 와동 879,와동 820-10번지 화정4교 경사로입구,안산시청,2022-09-15
화정천5,경기도 안산시 단원구 와동 879,와동 828번지 강서고 옆 계단,안산시청,2022-09-15
화정천6,경기도 안산시 단원구 와동 879,선부동 14단지A 1406동 앞 계단,안산시청,2022-09-15
화정천7,경기도 안산시 단원구 초지동 665-2,고잔동 고잔1동주민센터 앞 경사로,안산시청,2022-09-15
화정천8,경기도 안산시 단원구 고잔동 786,고잔동 692-2번지 양 경사로 가운데,안산시청,2022-09-15
화정천9,경기도 안산시 단원구 고잔동 786,고잔동 푸르지오A 504동 경사로와 계단,안산시청,2022-09-15
화정천10,경기도 안산시 단원구 초지동 752,초지동 그린빌12단지A 1212동 앞 경사로,안산시청,2022-09-15
화정천11,경기도 안산시 단원구 고잔동 814,고잔동 대림A 135동 앞 경사로와 계단사이,안산시청,2022-09-15
화정천12,경기도 안산시 단원구 초지동 792,초지동 풍림호수마을A 111동 앞 계단입구,안산시청,2022-09-15
안산천1,경기도 안산시 상록구 월피동 536-45,월피동 480번지 폭포 앞 경사로,안산시청,2022-09-15
안산천2,경기도 안산시 상록구 월피동 536-45,월피동 485-1번지 앞 계단입구,안산시청,2022-09-15
안산천3,경기도 안산시 상록구 월피동 536-45,고잔동 644-4번지 제일교회 계단,안산시청,2022-09-15
안산천4,경기도 안산시 상록구 성포동 679-14,성포동 선경A 19동 앞 경사로,안산시청,2022-09-15
안산천5,경기도 안산시 단원구 고잔동 570-2,고잔동 주공8단지 802동 앞 계단,안산시청,2022-09-15
안산천6,경기도 안산시 단원구 고잔동 570-2,고잔동 중앙중학교 앞 분수 경사로,안산시청,2022-09-15
안산천7,경기도 안산시 상록구 이동 759,이동 628-4번지 계단,안산시청,2022-09-15
안산천8,경기도 안산시 단원구 고잔동 831,고잔동 주공9단지A 905동 앞 경사로 입구,안산시청,2022-09-15
안산천9,경기도 안산시 상록구 이동 759,이동 푸르지오2차 209동 앞 경사로 ,안산시청,2022-09-15
안산천10,경기도 안산시 상록구 사동 1629,사동 마로니에공원 옆 경사로,안산시청,2022-09-15
안산천11,경기도 안산시 단원구 고잔동 847,고잔동 양지마을A 109동 경사로,안산시청,2022-09-15
안산천12,경기도 안산시 단원구 고잔동 847,안산16교 레이크타운 107동 앞 경사로,안산시청,2022-09-15
안산천13,경기도 안산시 단원구 고잔동 847,고잔동 중앙도서관 옆 계단,안산시청,2022-09-15
신길2천1,경기도 안산시 단원구 신길동 1542,신길동 휴먼시아 4단지 406동 앞 계단입구,안산시청,2022-09-15
신길2천2,경기도 안산시 단원구 신길동 1542,휴먼시아 9단지 아파트 건너편 신길동 1653번지 경사로 입구설치,안산시청,2022-09-15
건건천,경기도 안산시 상록구 건건동 919,건건동 920-28번지 베스트뷰A동 앞경사로 입구 설치,안산시청,2022-09-15
