번호_시군구명,업체명,소재지,신고일자,근로_수의사수
1 포항시,영일가축병원,경상북도 포항시 북구 흥해읍 남성리 327번지 2호 1통  ,1980-03-03,1
2 포항시,미르동물병원,경상북도 포항시 남구 오천읍 용덕리 449번지  ,2007-12-03,1
3 포항시,기계동물병원,경상북도 포항시 북구 기계면 현내리 312번지 29통 5반  ,1996-02-05,1
4 포항시,장기가축병원,경상북도 포항시 남구 장기면 마현리 322번지 1호 2통  ,1981-09-24,1
5 포항시,가나종합동물병원,경상북도 포항시 북구 대흥동 619번지 42호 46통 4반  ,1997-04-24,1
6 포항시,손수의과병원,경상북도 포항시 북구 덕수동 46번지 5호 16통  ,1997-02-04,1
7 포항시,대호동물병원,경상북도 포항시 북구 남빈동 989번지 118호 10통 4반  ,2000-10-25,1
8 포항시,풍지동물병원,경상북도 포항시 남구 해도동 33번지 73호  ,2001-05-17,1
9 포항시,신세계동물병원,경상북도 포항시 남구 해도동 123번지 5호  ,2006-01-24,1
10 포항시,김수의과병원,경상북도 포항시 북구 용흥동 118번지 18호 45통 5반  ,1990-12-07,1
11 포항시,청운동물병원,경상북도 포항시 북구 용흥동 625번지 2호 22통 2반  ,1995-07-12,1
12 포항시,홍경태동물병원,경상북도 포항시 북구 용흥동 618번지 39호 15통 4반  ,1990-05-12,1
13 포항시,포항동물병원,경상북도 포항시 북구 용흥동 144번지 8호  ,1999-03-30,3
14 포항시,최영준동물병원,경상북도 포항시 북구 용흥동 117번지 3호 55통 5반  ,1992-03-17,1
15 포항시,함께하는 동물병원,경상북도 포항시 남구 대잠동 986번지 7호 대산빌딩 102호 ,2003-04-12,1
16 포항시,초원동물병원,경상북도 포항시 북구 장성동 866번지 271호  ,2009-05-25,1
17 포항시,닥터 노아 동물병원,경상북도 포항시 남구 대잠동 936번지 10호  ,2014-10-16,1
18 포항시,장성동물병원,경상북도 포항시 북구 장성동 1353번지 5호 12통  ,2004-12-14,1
19 포항시,양덕동물병원,경상북도 포항시 북구 양덕동 1755번지 21통 7반  ,2012-08-07,1
20 포항시,포항축협동물병원,경상북도 포항시 북구 기계면 내단리 329번지  ,2012-02-22,1
21 포항시,견우동물병원,경상북도 포항시 북구 두호동 1052번지 2호  ,2016-06-07,2
22 포항시,이선동물병원,경상북도 포항시 북구 두호동 1103번지 1호  ,2017-02-27,1
23 포항시,조은동물병원,경상북도 포항시 남구 상도동 601번지 14호  ,2018-03-30,1
