연번,병원명,주소,개설일,병원연락처,출장진료 전문병원 해당 여부,반려동물,소,돼지,가금,사슴,말,양-염소,꿀벌,수생동물,야생동물,기타
1,제일동물병원,충청북도 청주시 상당구 석교동 245번지 ,1976-11-10,043-256-3309,아니오,예,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
2,한국동물병원,충청북도 청주시 상당구 상당로 15-1 (남문로1가),1980-07-30,043-221-3815,아니오,예,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
3,우리동물병원,충청북도 청주시 상당구 중고개로 305 (금천동),2004-07-07,043-223-7582,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
4,세림동물병원,충청북도 청주시 상당구 산성로116번길 25 상가동 101호 (용담동 부영아파트5단지),2004-07-28,043-286-7582,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
5,도도동물병원,충청북도 청주시 상당구 월평로 151-1 (용암동),2004-09-03,043-294-8855,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
6,이즈동물병원,충청북도 청주시 상당구 용암북로 154 (용암동),2005-03-14,043-293-0075,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
7,명성동물병원,충청북도 청주시 상당구 미원면 미원시내2길 39,2008-07-07,043-283-7583,아니오,예,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
8,청주랜드관리사업소,충청북도 청주시 상당구 명암로 171 (명암동),2010-07-15,043-201-4883,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,예,예
9,협성동물병원,충청북도 청주시 상당구 남일면 단재로 509,2012-10-04,043-237-3319,예,예,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
10,24시청주 나음동물메디컬,충청북도 청주시 상당구 1순환로 1233,2018-03-14,043-716-1275,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
11,엘케이동물의료센터,충청북도 청주시 상당구 중고개로 191 (용암동),2016-03-14,043-288-7599,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
12,가까운동물병원,충청북도 청주시 서원구 1순환로 1109 (분평동),1993-03-10,043-288-7533,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
13,그린동물병원,충청북도 청주시 서원구  사직대로 255 (사직동),1994-03-16,043-275-7575,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
14,한빛동물병원,충청북도 청주시 서원구 사직대로 147,1999-05-08,043-277-7582,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
15,와와동물병원,충청북도 청주시 서원구 사직대로 247-1 (사직동),2000-08-31,043-273-7582,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
16,분평종합동물병원,충청북도 청주시 서원구 서원구 청남로 2013 (분평동),2001-10-20,043-288-8575,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
17,수 동물병원,충청북도 청주시 서원구  모충로3번길 81 (개신동 한진아파트 상가 110호),2008-09-02,043-275-8275,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
18,산남동물병원,충청북도 청주시 서원구  산남로 64 104호 (산남동앤젤변호사빌딩),2009-07-21,043-294-8275,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
19,충북대학교 동물의료센터,충청북도 청주시 서원구 충대로 1 (개신동),2010-09-30,043-261-2602,아니오,예,예,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오
20,에이스동물병원,충청북도 청주시 서원구  복대로 11 (개신동),2011-02-28,043-238-0055,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
21,세솔동물병원,충청북도 청주시 서원구 산남로 77 101호 (산남동),2011-03-04,043-294-7582,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
22,고려동물메디컬센터,충청북도 청주시 서원구 사직대로 246 (사직동),2013-07-05,043-268-5677,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
23,청주24동물병원,충청북도 청주시 서원구  사직대로 256 (사직동),2016-11-04,043-267-4119,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
24,강내동물병원,충청북도 청주시 흥덕구 강내면 가로수로540-1,1978-07-24,043-233-2145,예,예,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
25,우리동물병원,충청북도 청주시 흥덕구 옥산면 옥산시내1길 29,1992-12-04,043-260-1684,예,예,예,아니오,아니오,아니오,아니오,예,아니오,아니오,아니오,아니오
26,충북동물병원,충청북도 청주시 흥덕구 사직대로 18(복대동),1994-01-18,043-271-7348,아니오,예,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오,아니오
