연번,업체명,대표자,전화번호,소재지(도로명주소),데이터기준일자
1,착한 강아지,정수민,051-204-7568,"부산광역시 사하구 낙동대로 194, 1층 (괴정동)",2022-04-25
2,몽글펫,김민균,,"부산광역시 사하구 하신중앙로 326, 한우리빌딩 3층 (하단동)",2022-04-25
3,우리펫살롱,김현정,051-907-5252,"부산광역시 사하구 대티로 5, 1층 (괴정동)",2022-04-25
4,아이러브 애견,박동복,051-206-3510,부산광역시 사하구 사하로 156-1 (괴정동),2022-04-25
5,개린이집,이소정,051-202-9708,"부산광역시 사하구 낙동남로1357번길 46, 1층 (하단동, 하단 지오피아)",2022-04-25
6,(주)사하동물의료원,(주)사하동물의료원 박대식,051-204-1891,부산광역시 사하구 낙동대로356번길 6 (당리동),2022-04-25
7,미소애견,허윤정,051-261-1891,부산광역시 사하구 다대로 624 (다대동),2022-04-25
8,해피멍,윤선화,051-265-8454,부산광역시 사하구 다대로 274 (장림동),2022-04-25
9,한솔동물병원,박용구,,부산광역시 사하구 낙동대로 184 (괴정동),2022-04-25
10,베스트 애견,박경희,051-266-1434,부산광역시 사하구 장림번영로 46-2(장림동),2022-04-25
11,도그라이프,김소영,051-266-3268,부산광역시 사하구 다대로 399 (다대동),2022-04-25
12,멍멍스타,장선영,,부산광역시 사하구 낙동대로 174 (괴정동),2022-04-25
13,도그어바웃,강병훈,,"부산광역시 사하구 다대로 680, 3층 (다대동)",2022-04-25
14,똥강아지,김선희,051-205-0223,부산광역시 사하구 낙동대로355번길 7 (당리동),2022-04-25
15,다키애견,진현정,,부산광역시 사하구 다대로 529 (다대동),2022-04-25
16,쁘띠콩 애견샵,전선미,,"부산광역시 사하구 윤공단로 123, 121동 1층 1호 (다대동, 부산다대푸르지오)",2022-04-25
17,박동물종합병원,박창석,051-202-7002,부산광역시 사하구 낙동대로 407 (당리동),2022-04-25
18,괴정동물병원,노영수,051-207-3434,부산광역시 사하구 낙동대로 246-1 (괴정동),2022-04-25
19,다대동물병원,최동호,051-266-7580,"부산광역시 사하구 다대로 549, 2층 (다대동)",2022-04-25
20,38도C 애견미용,박선현,,부산광역시 사하구 낙동대로 324 (괴정동),2022-04-25
