영업의내용,사업장명칭,소재지주소(도로명),소재지전화
동물 ( 판매 ),한아름애견,부산광역시 중구 구덕로 63 (남포동5가),051-245-4542
동물 ( 판매 ),프로애견사,부산광역시 중구 구덕로 55-1 (남포동5가),051-248-6749
동물 ( 판매 ),삼성애견사,부산광역시 중구 구덕로 65 (남포동5가),051-242-4588
동물 ( 판매 ),뽀뽀애견,부산광역시 중구 구덕로 61 (남포동5가),051-246-2436
동물 ( 판매 ),광원수족관,부산광역시 중구 구덕로 28 (남포동2가),051-246-2223
동물 ( 판매 위탁관리 미용 ),베스트펫 강아지고양이 부산본점,"부산광역시 중구 중앙대로 47-1, 1~4층 (중앙동2가)",051-245-9319
동물 ( 미용 ),퓨펜애견,"부산광역시 중구 흑교로 34, 가동 1호 (부평동2가, 부평맨션)",051-241-3885
동물 ( 미용 ),부평애견사,부산광역시 중구 흑교로 16 (부평동2가),051-244-2049
동물 ( 위탁관리 미용 ),피닉스애견미용,부산광역시 중구 구덕로 30-1 (남포동2가),051-246-7551
동물 ( 미용 ),애견동화,부산광역시 중구 흑교로51번길 4 (보수동2가),051-254-6826
동물 ( 전시 ),양이양이,"부산광역시 중구 비프광장로 30-1, 4층 (남포동5가)",051-253-0203
동물 ( 미용 ),봉구애견미용샵,"부산광역시 중구 초량상로5번길 8, 2층 (영주동)",070-4064-2201
동물 ( 위탁관리 ),샤랄라점빵,"부산광역시 중구 망양로 459, 6호 (영주동, 동남파크)",
동물 ( 미용 ),샤랄라점빵,"부산광역시 중구 망양로 459, 6호 (영주동, 동남파크)",
동물 ( 전시 ),고양이다락방,"부산광역시 중구 광복로 40-1, 3층 (창선동2가)",051-335-3123
동물 ( 미용 ),희망종합동물병원,"부산광역시 중구 구덕로 51, 2층 (남포동5가)",051-241-0103
동물 ( 판매 ),한강아쿠아 롯데마트 광복점,"부산광역시 중구 중앙대로 2, 롯데백화점광복점 2층 (중앙동7가)",
동물 ( 위탁관리 ),덕수네애견,"부산광역시 중구 광복로 59-1, 7층 (광복동2가)",051-245-2956
동물 ( 전시 ),덕수네애견,"부산광역시 중구 광복로 59-1, 7층 (광복동2가)",051-245-2956
동물 ( 전시 ),남포아지트,"부산광역시 중구 비프광장로 3, 3층 (부평동2가)",051-241-0901
동물 ( 위탁관리 ),남포아지트,"부산광역시 중구 비프광장로 3, 3층 (부평동2가)",051-241-0901
동물 ( 전시 ),라라랜드,"부산광역시 중구 비프광장로 33, 7층 (남포동3가)",
동물 ( 미용 ),메리몰펫샵,"부산광역시 중구 중구로 140, 2층 (동광동5가)",051-406-4948
동물 ( 위탁관리 ),봉구애견미용샵,"부산광역시 중구 초량상로5번길 8, 2층 (영주동)",070-4064-2201
동물 ( 위탁관리 ),메리몰펫샵,"부산광역시 중구 중구로 140, 3층 (동광동5가)",051-469-4947
동물 ( 위탁관리 ),왈왈,부산광역시 중구 대영로 217 (영주동),
동물 ( 미용 ),왈왈,부산광역시 중구 대영로 217 (영주동),
동물 ( 미용 ),도그스토리,"부산광역시 중구 대영로 225, 2층 (영주동)",051-463-3009
동물 ( 위탁관리 ),도그스토리,"부산광역시 중구 대영로 225, 2층 (영주동)",051-463-3009
동물 ( 위탁관리 미용 ),디어반,"부산광역시 중구 중앙대로 2, 롯데백화점광복점 11층 (중앙동7가)",
동물 ( 운송 ),시나몬,"부산광역시 중구 자갈치로47번길 6-1, 3층 (남포동5가)",
동물 ( 위탁관리 미용 ),곰앤앙,"부산광역시 중구 중앙대로 75-1, 중앙빌딩 1층 (중앙동4가)",
동물병원,고동물병원,부산광역시 중구 자갈치로47번길 5 (남포동5가),051-246-0473
동물병원,희망종합동물병원,"부산광역시 중구 구덕로 51, 2층 (남포동5가)",051-241-0103
동물병원,피닉스동물병원,부산광역시 중구 구덕로 30-1 (남포동2가),051-246-7551
