업소명,사업장소재지(도로명),전화번호
재생동물병원,부산광역시 동래구 충렬대로 268-1 (낙민동),051-555-4130
안락동물병원,부산광역시 동래구 안연로98번길 4 (안락동),051-556-8747
류태현동물병원,부산광역시 동래구 금강공원로 11-1 (온천동),051-553-4409
한양종합동물병원,부산광역시 동래구 반송로 265 (명장동),051-527-8742
사직삼보동물병원,부산광역시 동래구 사직북로63번길 11 (사직동),051-505-7578
한사랑동물병원,부산광역시 동래구 명륜로98번길 1 (명륜동),051-555-8300
동양축산병원,부산광역시 동래구 충렬대로237번길 148 (명륜동),051-552-3003
대일종합동물병원,부산광역시 동래구 충렬대로 435 (안락동),051-529-2991
사직동물병원,부산광역시 동래구 아시아드대로 212-1 (온천동),051-505-7578
초원동물병원,부산광역시 동래구 명장로 150 (안락동),051-525-1275
자연동물병원,부산광역시 동래구 사직로70번길 50 (사직동),051-506-7975
동래종합동물병원,"부산광역시 동래구 금강로 69, 105호 (온천동)",051-558-0775
레알동물병원,부산광역시 동래구 반송로 243 (안락동),051-524-8275
바른동물병원,부산광역시 동래구 충렬대로 488 (안락동),051-531-7582
뉴욕동물병원,부산광역시 동래구 충렬대로 222 (수안동),051-555-2119
동래 롯데 종합동물병원,부산광역시 동래구 중앙대로1381번길 5 (온천동),051-555-7975
자이언츠 동물병원,부산광역시 동래구 사직북로 26 (사직동),051-512-7582
학산동물병원,부산광역시 동래구 동래로147번길 6 (복천동),051-557-7577
스카이동물병원,"부산광역시 동래구 충렬대로 160, 1층 (온천동)",051-506-8875
훈 동물병원,부산광역시 동래구 명륜로194번길 2 (명륜동),051-554-0010
유성준동물병원,"부산광역시 동래구 명륜로 90 (수안동, 호원메디컬)",051-555-4813
온천동물병원,부산광역시 동래구 아시아드대로 207 (온천동),051-505-4088
노블동물병원,"부산광역시 동래구 아시아드대로 160, 1,2층 (사직동)",051-982-2580
유기화동물의료센터,부산광역시 동래구 아시아드대로 131-1 (사직동),051-506-8492
린동물병원,부산광역시 동래구 중앙대로1381번길 43 (온천동),051-514-2470
헤아림동물병원,부산광역시 동래구 충렬대로 288(낙민동),051-555-1125
24시 리본동물의료센터,부산광역시 동래구 충렬대로 194 2층(명륜동),051-711-0006
24시 리본동물의료센터,부산광역시 동래구 충렬대로 194 3층(명륜동),051-711-0006
온마음동물병원,"분산광역시 동래구 중앙대로1473번길 24
온천장역삼정그린코아더시티 상가동 109~110호(온천동)",051-552-6800
