연번,업소명,사업장소재지,전화번호,우편번호
1,이수의과의원,서울특별시 용산구 후암로 13-2 (후암동),02-754-4978,4335
2,남산동물병원,"서울특별시 용산구 후암로 51, 지상1층 (후암동)",02-778-7582,4325
3,효창동물병원,서울특별시 용산구 백범로 293 (효창동),02-711-4527,4317
4,21세기동물병원,"서울특별시 용산구 보광로 46 (보광동, 용호빌딩 202호,203호(2층))",02-749-6750,4414
5,한남동물병원,서울특별시 용산구 대사관로24길 28 (한남동),02-793-9230,4402
6,열린동물종합병원,서울특별시 용산구 원효로 171 (원효로2가),02-3273-0075,4364
7,원효종합동물병원,서울특별시 용산구 원효로 187 (원효로2가),02-719-7070,4364
8,한사랑동물병원,서울특별시 용산구 신흥로 36-1 (용산동2가),02-749-8275,4339
9,청화종합동물병원,"서울특별시 용산구 보광로 90 (이태원동,태광빌딩 1층)",02-792-7602,4406
10,펫토이동물병원,서울특별시 용산구 대사관로 32 (한남동),02-795-2184,2878
11,금강동물병원,"서울특별시 용산구 이촌로 303, 21동 112호 (이촌동,현대아파트)",02-798-7512,4424
12,라온동물병원,서울특별시 용산구 회나무로13길 6 (이태원동),02-792-7585,4344
13,아프리카동물병원,"서울특별시 용산구 후암로 32, 지상1층 (후암동)",02-773-1119,4331
14,엉클장동물병원,"서울특별시 용산구 백범로 341 (원효로1가,외1필지 리첸시아A동 106호(지상1층))",02-713-0053,4315
15,펫동물병원,"서울특별시 용산구 백범로 285 (효창동,(지상1층))",02-3275-0079,4318
16,(주)이상윤동물병원,"서울특별시 용산구 이촌로 248, 31동 105,205호 (이촌동, 한강맨숀)",02-792-5455,4426
17,차오름동물병원,서울특별시 용산구 효창원로 14 (산천동),02-706-7975,4360
18,러브펫동물병원,"서울특별시 용산구 한강대로23길 55, 5층 (한강로3가, 아이파크몰 패션관)",02-2012-3875,4377
19,달래동물병원,"서울특별시 용산구 한남대로20길 7, 지상1,2층 (한남동)",02-794-1255,4419
20,보광동물병원,서울특별시 용산구 보광로 22-1 (보광동),02-790-9808,4415
21,민트동물병원,"서울특별시 용산구 원효로 51, 114호 (산천동)",02-707-2235,4359
22,이태원동물병원,"서울특별시 용산구 녹사평대로 210, 1,2층 (이태원동)",02-749-4945,4345
23,동물병원 메이,"서울특별시 용산구 대사관로 41 (한남동, 2층)",02-797-4408,4401
24,퍼스동물병원,"서울특별시 용산구 신흥로 54, 106호 (용산동2가)",02-790-7508,4339
25,펫세상 동물병원,"서울특별시 용산구 한강대로23길 55 (한강로3가, 이마트 지하2층 내)",02-2012-1256,4377
26,좋아서하는 동물병원,"서울특별시 용산구 백범로 341, B동 113,114호 (문배동)",02-703-0075,4315
27,바다동물병원(Bada Animal Hospital),"서울특별시 용산구 서빙고로 67, 지하1층 비21호 (용산동5가, 파크타워)",02-792-2561,4385
28,24시 시유동물메디컬센터,"서울특별시 용산구 이촌로64길 24, 1층 101호 (이촌동)",02-793-0075,4427
29,베이동물병원,"서울특별시 용산구 이촌로 248, 11동 102호 (이촌동, 한강맨션)",02-749-7588,4426
