연번,유형,상호명,도로명주소,전화번호
1,동물미용업(일반),펫앤펫 인천점 강아지의 모든것,인천광역시 미추홀구 경인로 500 (주안동),
2,동물미용업(일반),아라종합동물병원,인천광역시 미추홀구 주안로 73 (주안동),032-886-0079
3,동물미용업(일반),꿈꾸는강아지,인천광역시 미추홀구 인하로430번길 30 (관교동),
4,동물미용업(일반),이쁜개,인천광역시 미추홀구 낙섬중로 57-1 (용현동),
5,동물미용업(일반),똥개마을,"인천광역시 미추홀구 능해길46번길 51 (용현동, 삼익아파트)",
6,동물미용업(일반),강사모백화점,"인천광역시 미추홀구 낙섬중로91번길 4, 1층 (용현동)",032-881-4544
7,동물미용업(일반),강사모 펫,인천광역시 미추홀구 소성로 310 (문학동),
8,동물미용업(일반),아지세상(애견샾),인천광역시 미추홀구 경인로325번길 22-36 (주안동),
9,동물미용업(일반),강아지 친구,"인천광역시 미추홀구 인주대로 84, 상가동 101호 (용현동, 선우아파트)",
10,동물미용업(일반),팡팡애견,"인천광역시 미추홀구 아암대로45번길 83-14, 1층 (용현동)",
11,동물미용업(일반),캣썸플레이스,"인천광역시 미추홀구 경인로 429, 1층 (주안동)",
12,동물미용업(일반),이쁜강아지,인천광역시 미추홀구 소성로 334 (문학동),
13,동물미용업(일반),파리 애견스타일,"인천광역시 미추홀구 소성로 237, 201호 (학익동)",
14,동물미용업(일반),라르펫,"인천광역시 미추홀구 노적산로 70, 102호 (학익동)",
15,동물미용업(일반),러블리 강아지,"인천광역시 미추홀구 동산로 9, 1층 (숭의동)",
16,동물미용업(일반),개미딱지,인천광역시 미추홀구 장천로112번길 5 (숭의동),
17,동물미용업(일반),강아지소풍,인천광역시 미추홀구 주승로 98-5 (주안동),
18,동물미용업(일반),한국동물병원,인천광역시 미추홀구 낙섬중로 25 (용현동),032-887-2952
19,동물미용업(일반),제물포애견,인천광역시 미추홀구 수봉로 28 (숭의동),
20,동물미용업(일반),우리집 강아지,"인천광역시 미추홀구 석정로456번길 4, 1층 (주안동)",
21,동물미용업(일반),토토애견,인천광역시 미추홀구 제일로 42 (도화동),
22,동물미용업(일반),버블멍,인천광역시 미추홀구 수봉로 26 (숭의동),032-889-1357
23,동물미용업(일반),브라운동물병원,"인천광역시 미추홀구 독배로432번길 3, 1층 (숭의동)",032-889-7582
24,동물미용업(일반),펫홈,"인천광역시 미추홀구 미추홀대로 620, 1층 (주안동)",
25,동물미용업(일반),똥개이발소,"인천광역시 미추홀구 경인로 16, 1층 (숭의동)",032-887-2829
26,동물미용업(일반),펫앤펫,인천광역시 미추홀구 경인로 500 (주안동),032-432-8557
27,동물미용업(일반),꼬리치랑개,인천광역시 미추홀구 경인로 323 (도화동),032-868-9428
28,동물미용업(일반),하나애견샵,"인천광역시 미추홀구 매소홀로418번길 20, 현광아파트 상가동 104호 (학익동)",
29,동물미용업(일반),쏭쓰펫살롱,"인천광역시 미추홀구 용정공원로 33, 인천 SK Sky VIEW A-4동 207호 (용현동)",032-889-1909
30,동물미용업(일반),아이러브펫AC,"인천광역시 미추홀구 소성로 6, 홈플러스 지하층 (용현동)",032-875-7566
31,동물미용업(일반),개네마을,"인천광역시 미추홀구 승학길104번길 30, 103호 (주안동, 인천주안한신휴플러스)",032-422-6413
32,동물미용업(일반),시드니종합동물병원,"인천광역시 미추홀구 미추홀대로 594, 동경프라자 1층 (주안동)",032-437-7588
33,동물미용업(일반),노아동물병원,"인천광역시 미추홀구 숙골로 90, 201호 (도화동)",
34,동물미용업(일반),Dear Johny,"인천광역시 미추홀구 석정로 360, 103호 (주안동, 주안태화아파트)",
35,동물미용업(일반),바른동물병원,"인천광역시 미추홀구 소성로 136, 4층 (학익동)",032-876-8575
36,동물미용업(일반),와우 동물농장,"인천광역시 미추홀구 구월남로 10, 1층 (주안동)",032-429-0520
37,동물미용업(일반),오키독,"인천광역시 미추홀구 독정이로 43, 1층 (숭의동)",
38,동물미용업(일반),빠박이 애견미용,"인천광역시 미추홀구 경인로425번길 35, 1층 (주안동)",
39,동물미용업(일반),강아지사랑,인천광역시 미추홀구 한나루로501번길 8 (용현동),
40,동물미용업(일반),강아지 이발관,"인천광역시 미추홀구 아암대로29번길 16, 105동 103호 (용현동, 인천 용현 엑슬루타워)",
41,동물미용업(일반),애견스토리,인천광역시 미추홀구 미추홀대로 636-3 (주안동),
42,동물미용업(일반),쏭트리밍,"인천광역시 미추홀구 독배로 394, 1층 (용현동)",
43,동물미용업(일반),온누리동물병원,인천광역시 미추홀구 인주대로 168 (용현동),032-866-5725
44,동물미용업(일반),개쩔개,"인천광역시 미추홀구 낙섬서로18번길 27-16, 1층 (용현동)",
45,동물미용업(일반),둥지애견,인천광역시 미추홀구 인하로164번길 3 (용현동),032-874-1555
46,동물미용업(일반),멍멍스타,"인천광역시 미추홀구 경원대로833번길 57, 썬주택 1층 (주안동)",
47,동물미용업(일반),왈가닥펫,인천광역시 미추홀구 토금중로 53 (용현동),070-7766-9777
48,동물미용업(일반),동그리멍,"인천광역시 미추홀구 염전로168번길 28, 도화두손지젤시티 에이동 114호 (도화동)",
49,동물미용업(일반),올리스애견셀프목욕24시,"인천광역시 미추홀구 소성로 88, 엑슬루타워 상가동 103호 (학익동)",
50,동물미용업(일반),주안동물병원,인천광역시 미추홀구 석정로 400 (주안동),032-203-0075
51,동물미용업(일반),애니독,인천광역시 미추홀구 인하로 369 (주안동),
52,동물미용업(일반),도그월드,"인천광역시 미추홀구 미추홀대로598번길 31, 1층 (주안동)",
53,동물미용업(일반),닥터파파,"인천광역시 미추홀구 미추홀대로 533, 1층 (주안동)",032-863-7582
54,동물미용업(일반),오로지펫,인천광역시 미추홀구 석바위로 4 (도화동),070-4281-0658
55,동물미용업(일반),학익동물병원,"인천광역시 미추홀구 한나루로 379, 1층 (학익동)",032-868-2626
56,동물미용업(일반),개조아,인천광역시 미추홀구 장천로 60 (숭의동),
57,동물미용업(일반),토리펫,"인천광역시 미추홀구 한나루로 492, 1층 (주안동)",
58,동물미용업(일반),딜루디움,"인천광역시 미추홀구 수봉북로 22-1, 2층 (도화동)",
59,동물미용업(일반),명심보견(켓독),"인천광역시 미추홀구 주안로 89, 111호 (주안동)",032-875-8707
60,동물미용업(일반),멍뭉이애견샵,인천광역시 미추홀구 매소홀로 73-6 (용현동),
61,동물미용업(일반),시드니종합동물병원,"인천광역시 미추홀구 미추홀대로 594, 동경프라자 1층 (주안동)",
62,동물미용업(일반),그로우펫,"인천광역시 미추홀구 주안중로43번길 14-1, 수목어빌딩 2층 (주안동)",
63,동물미용업(일반),사랑한개너양,"인천광역시 미추홀구 수봉로182번길 51, 1층 (주안동)",
64,동물미용업(일반),러비도기,인천광역시 미추홀구 석정로10번길 63 (숭의동),032-815-2991
65,동물미용업(일반),러블리 멍멍이,"인천광역시 미추홀구 석정로433번길 41, 1층 (주안동)",
66,동물미용업(일반),포인트동물의료센터,"인천광역시 미추홀구 낙섬중로 92, 101호, 102호 (용현동)",032-882-8275
67,동물미용업(일반),댕댕아야옹,"인천광역시 미추홀구 매소홀로535번길 41, 1층 (문학동)",
68,동물미용업(일반),애견 미,"인천광역시 미추홀구 인주대로306번길 7, 1층 (주안동)",
69,동물미용업(일반),멍냥이 펫싸롱,"인천광역시 미추홀구 경인로 403, 101동 103호 (주안동, 주안 지웰에스테이트)",
70,동물미용업(일반),메르시독(mercidog),"인천광역시 미추홀구 송림로 197-1, 1층 (도화동)",
71,동물미용업(일반),꽃다비펫,인천광역시 미추홀구 주승로197번길 13-35 (관교동),
72,동물미용업(일반),본애견미용실,"인천광역시 미추홀구 인하로 287, 2층 (주안동)",
73,동물미용업(일반),개떼라떼,"인천광역시 미추홀구 숙골로 116, 스카이프라자1 401호,402호 (도화동)",
74,동물미용업(일반),도그아로마,"인천광역시 미추홀구 매소홀로 338, 학익동풍림아이원아파트 분산상가동 109호 (학익동)",
75,동물미용업(일반),멍메이트,"인천광역시 미추홀구 경원대로807번길 24, 1층 (주안동)",
76,동물미용업(일반),꽃길만걷개,"인천광역시 미추홀구 경인로34번길 28, 1층 (숭의동)[*미고시]",
77,동물미용업(일반),펫샾(#)시티,"인천광역시 미추홀구 수봉남로17번길 41, 2층, 3층 일부층 (용현동)",
78,동물미용업(일반),안상수동물병원,인천광역시 미추홀구 낙섬중로 53(용현동),032-887-1537
79,동물미용업(일반),달퍼피(Dall puppy),"인천광역시 미추홀구 숙골로112번길 2, 드림프라자 2층 202호 (도화동)",
80,동물미용업(일반),내사랑 강아지,"인천광역시 미추홀구 매소홀로 167, 신창미션힐 1층 101호 (용현동)",032-887-0480
81,동물미용업(일반),"나에개, 반하냥","인천광역시 미추홀구 숙골로 124, 와이지타워 1층 108호 (도화동)",
82,동물미용업(일반),써니펫살롱,"인천광역시 미추홀구 석바위로 4, 2층 202호 (도화동)",
83,동물미용업(일반),강아지 분양 프러포즈펫,"인천광역시 미추홀구 숙골로87번길 24, 가야프라자 1층 102호 (도화동)",032-872-7003
84,동물미용업(일반),중앙애견미용실,"인천광역시 미추홀구 경인로 417-1, 1층 (주안동)",
85,동물미용업(일반),루나독(Luna dog),"인천광역시 미추홀구 용정공원로 33, 106호 (용현동, 인천 SK Sky VIEW)",
86,동물미용업(일반),개이뿌개,"인천광역시 미추홀구 소성로 292, 1층 (문학동)",
