연번,유형,상호명,도로명주소,전화번호
1,동물위탁관리업,펫앤펫 인천점 강아지의 모든것,인천광역시 미추홀구 경인로 500 (주안동),
2,동물위탁관리업,아라종합동물병원,인천광역시 미추홀구 주안로 73 (주안동),032-886-0079
3,동물위탁관리업,꿈꾸는강아지,인천광역시 미추홀구 인하로430번길 30 (관교동),
4,동물위탁관리업,똥개마을,"인천광역시 미추홀구 능해길46번길 51 (용현동, 삼익아파트)",
5,동물위탁관리업,아지세상(애견샾),인천광역시 미추홀구 경인로325번길 22-36 (주안동),
6,동물위탁관리업,강아지 친구,"인천광역시 미추홀구 인주대로 84, 상가동 101호 (용현동, 선우아파트)",
7,동물위탁관리업,오월펫,"인천광역시 미추홀구 석정로92번길 171, 인화빌딩 (도화동)",
8,동물위탁관리업,캣썸플레이스,"인천광역시 미추홀구 경인로 429, 1층 (주안동)",
9,동물위탁관리업,이쁜강아지,인천광역시 미추홀구 소성로 334 (문학동),
10,동물위탁관리업,파리 애견스타일,"인천광역시 미추홀구 소성로 237, 201호 (학익동)",
11,동물위탁관리업,러블리 강아지,"인천광역시 미추홀구 동산로 9, 1층 (숭의동)",
12,동물위탁관리업,우리집 강아지,"인천광역시 미추홀구 석정로456번길 4, 1층 (주안동)",
13,동물위탁관리업,펫앤펫,인천광역시 미추홀구 경인로 500 (주안동),032-432-8557
14,동물위탁관리업,아이러브펫AC,"인천광역시 미추홀구 소성로 6, 홈플러스 지하층 (용현동)",032-875-7566
15,동물위탁관리업,버블멍,인천광역시 미추홀구 수봉로 26 (숭의동),
16,동물위탁관리업,Dear Johny,"인천광역시 미추홀구 석정로 360, 103호 (주안동, 주안태화아파트)",
17,동물위탁관리업,오키독,"인천광역시 미추홀구 독정이로 43, 1층 (숭의동)",
18,동물위탁관리업,멍튜브,"인천광역시 미추홀구 주안로213번길 10-1, 8층 (주안동)",070-7543-4208
19,동물위탁관리업,애견스토리,인천광역시 미추홀구 미추홀대로 636-3 (주안동),
20,동물위탁관리업,개쩔개,"인천광역시 미추홀구 낙섬서로18번길 27-16, 1층 (용현동)",
21,동물위탁관리업,동그리멍,"인천광역시 미추홀구 염전로168번길 28, 도화두손지젤시티 에이동 114호 (도화동)",
22,동물위탁관리업,학익동물병원,"인천광역시 미추홀구 한나루로 379, 1층 (학익동)",032-868-2626
23,동물위탁관리업,개조아,인천광역시 미추홀구 장천로 60 (숭의동),
24,동물위탁관리업,멍뭉이애견샵,인천광역시 미추홀구 매소홀로 73-6 (용현동),
25,동물위탁관리업,그로우펫,"인천광역시 미추홀구 주안중로43번길 14-1, 수목어빌딩 2층 (주안동)",
26,동물위탁관리업,포인트동물의료센터,"인천광역시 미추홀구 낙섬중로 92, 101호, 102호 (용현동)",032-882-8275
27,동물위탁관리업,댕댕아야옹,"인천광역시 미추홀구 매소홀로535번길 41, 1층 (문학동)",
28,동물위탁관리업,신나개놀개,"인천광역시 미추홀구 독배로 305, 이한프라자 3층 (용현동)",070-8882-7677
29,동물위탁관리업,봉봉애견카페호텔,"인천광역시 미추홀구 경인로 25, 숭의빌딩 302호 (숭의동)",
30,동물위탁관리업,개떼라떼,"인천광역시 미추홀구 숙골로 116, 스카이프라자1 401호,402호 (도화동)",
31,동물위탁관리업,펫샾(#)시티,"인천광역시 미추홀구 수봉남로17번길 41, 2층, 3층 일부층 (용현동)",
32,동물위탁관리업,달퍼피(Dall Puppy),"인천광역시 미추홀구 숙골로112번길 2, 드림프라자 2층 202호 (도화동)",
33,동물위탁관리업,명심보견(켓독),"인천광역시 미추홀구 주안로 89, 오피스텔 디에이 리베로 1층 111호 (주안동)",032-875-8707
34,동물위탁관리업,딩동댕 애견카페,"인천광역시 미추홀구 토금중로11번길 10, 2층 (용현동)",
35,동물위탁관리업,꽃피는견생 인천애견유치원,"인천광역시 미추홀구 염전로202번길 59, 다온프라자3 4층 401호 (도화동)",
36,동물위탁관리업,댕댕이 마을,"인천광역시 미추홀구 인주대로434번길 8, 1층 (주안동)",
37,동물위탁관리업,댕댕이 카페,"인천광역시 미추홀구 미추홀대로722번길 18, 4층 (주안동)",
