연번,사업장명칭,영업내용,소재지 주소,전화번호,데이터기준일자
1,아이러브 펫 동물병원 청라점,판매,인천광역시 서구 중봉대로 587 (경서동),032-565-8270,2021-09-01
2,도그박스(DOGBOX),판매,인천광역시 서구 청라에메랄드로 157 (연희동),,2021-09-01
3,럭셔리하개,판매,"인천광역시 서구 승학로 457, 상가동 1층 101호 (검암동)",,2021-09-01
4,도그샵,판매,인천광역시 서구 승학로 283 (연희동),,2021-09-01
5,애견용품 할인매장,판매,인천광역시 서구 가정로 298 (석남동),,2021-09-01
6,인천조류원,판매,"인천광역시 서구 검단로609번길 3, 4층 (마전동)",,2021-09-01
7,경기관상어,판매,"인천광역시 서구 원당대로 581 (마전동, 롯데마트)",032-560-2500,2021-09-01
8,쿨펫동물병원 이마트 검단점,판매,인천광역시 서구 당하동 877-40 ,032-565-7975,2021-09-01
9,25시파랑새동물병원,판매,인천광역시 서구 완정로 182 (마전동),032-567-2575,2021-09-01
10,행복한동물병원,판매,인천광역시 서구 당하동 824-6 삼정프라자 101호,032-561-7508,2021-09-01
11,아지와 옹이,판매,인천광역시 서구 승학로 446 (검암동),032-561-9004,2021-09-01
12,메인독,판매,인천광역시 서구 신석로111번길 15 (석남동),070-4155-1119,2021-09-01
13,핫도그,판매,인천광역시 서구 승학로 574 (검암동),032-568-6333,2021-09-01
14,해피펫,판매,인천광역시 서구 검단로501번안길 16 (마전동),032-561-7450,2021-09-01
15,퍼피크루,판매,인천광역시 서구 심곡로49번길 1 (심곡동),032-566-0155,2021-09-01
16,쿨펫동물병원(가좌 홈플러스점),판매,인천광역시 서구 가정로151번길 11 (가좌동),032-576-0045,2021-09-01
17,(주)이마트 검단점,판매,인천광역시 서구 서곶로 754 (당하동),032-440-1054,2021-09-01
18,아쿠라 플러스(주) 가좌홈플러스점,판매,인천광역시 서구 가정로151번길 11 (가좌동),032-563-8000,2021-09-01
19,노블펫,판매,인천광역시 서구 푸른로8번안길 4 (경서동),032-562-4031,2021-09-01
20,뮤뮤,판매,"인천광역시 서구 청라에메랄드로102번길 8-22 (연희동, 미라클프라자)",,2021-09-01
21,총각블라인드&디자인독,판매,인천광역시 서구 완정로178번안길 4-1 (마전동),,2021-09-01
22,베이비 몽,판매,"인천광역시 서구 청라라임로 85 (연희동, 청라린스트라우스)",,2021-09-01
23,젊은열대어,판매,"인천광역시 서구 검단로 755 (불로동, 상원빌딩)",,2021-09-01
24,도그월드 가정지구점,판매,"인천광역시 서구 청중로478번안길 3 (가정동, 주원프라자)",032-566-8698,2021-09-01
25,상상도그,판매,"인천광역시 서구 중봉대로612번길 10-17 (연희동, 주차타워동)",032-568-0907,2021-09-01
26,고양이 유치원,판매,인천광역시 서구 길주로 79 (석남동),,2021-09-01
27,마이펫,판매,"인천광역시 서구 거북로 88, 3층 (석남동)",,2021-09-01
28,서구애견센타,판매,"인천광역시 서구 가정로 295 (석남동, 서해안순복음교회)",032-576-5726,2021-09-01
29,펫 매니저,판매,"인천광역시 서구 승학로 528 (검암동, 아카데미프라자)",,2021-09-01
30,루하,판매,인천광역시 서구 담지로8번길 18 (연희동),,2021-09-01
31,스퀘어독스,판매,"인천광역시 서구 담지로8번길 13, 1층 (연희동)",032-568-1063,2021-09-01
32,브리앙뜨몽,판매,"인천광역시 서구 청라커낼로319번길 3-3, 102, 103호 (경서동)",,2021-09-01
33,놀아주시개,판매,"인천광역시 서구 건지로 391, 2,3층 (가좌동)",,2021-09-01
34,아지랑양이,판매,"인천광역시 서구 서곶로 870, 1층 (마전동, 한성빌딩)",032-565-2558,2021-09-01
