구분,사업장명칭,소재지주소,데이터기준일자,데이터담당부서,부서전화번호
동물 ( 미용 ),스퀘어독스,인천광역시 서구 연희동 788-10 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),오펫,인천광역시 서구 검암동 513-1 힘찬프라자 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),놀아주시개,인천광역시 서구 가좌동 78-15 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),꽃길 걷는 고양이,인천광역시 서구 가정동 613-14 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),푸들리,인천광역시 서구 심곡동 290 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),아지랑양이,인천광역시 서구 마전동 1056-3 한성빌딩 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),도그반하다,인천광역시 서구 검암동 627-1 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),펫토피아,인천광역시 서구 경서동 956-13 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),Just Grooming,인천광역시 서구 경서동 956-3 청라 봄 빌딩 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),동물에반하다동물병원,인천광역시 서구 경서동 949-4 101호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),헤이도그,인천광역시 서구 경서동 853-3 103호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),베이비몽 인천점,인천광역시 서구 경서동 976-85 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),개편한 애견미용,인천광역시 서구 석남동 510-6 203호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),비숑이즈,인천광역시 서구 연희동 799-6 마르씨엘 B01호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),청라종합동물병원,인천광역시 서구 청라동 159-1 청라 롯데캐슬 c동 118호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),아리가독,인천광역시 서구 석남동 216-2 성림빌딩 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),행복한 펫 살롱,인천광역시 서구 심곡동 337-12 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),착한퍼피,인천광역시 서구 마전동 917-4 106호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),헬로퍼피,인천광역시 서구 마전동 1029-5 검단1차 대주피오레아파트 b동 113호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),우리동물병원,인천광역시 서구 연희동 687-2 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),은별이네,인천광역시 서구 청라동 162-16 청라매그놀리아오피스텔 207호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),루원하이동물병원,인천광역시 서구 가정동 619-4 드림타워 103호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),루이펫살롱,인천광역시 서구 심곡동 283-5 메인프라자1차 103호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),도그맘,인천광역시 서구 연희동 710-6 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),오드리 펫샵,인천광역시 서구 청라동 159-1 청라 롯데캐슬 D동 109호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),개미남 개미녀,인천광역시 서구 신현동 282-15 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),까망 곰 젤리,인천광역시 서구 석남동 109-4 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),연희동물병원,인천광역시 서구 심곡동 303-6 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),청라루비동물병원,인천광역시 서구 청라동 144-3 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),쿨펫동물병원 롯데마트 검단점,인천광역시 서구 마전동 1031-1 롯데마트 2층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),청라 공감 동물의료센터,인천광역시 서구 청라동 164-1 청라 풍림 엑슬루타워 상가1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),쪼꼬동물메디컬센터,인천광역시 서구 가정동 606-2 2층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),정이룸 동물병원,인천광역시 서구 당하동 1092-5 창신프라자 102호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),메이플동물병원,인천광역시 서구 원당동 824-6 삼정프라자 102호,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),검단종합 동물병원,"인천광역시 서구 마전동 1020-14 행복열쇠, 한림빌딩 ",2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),예스동물병원,인천광역시 서구 가좌동 30-69 라이프쇼핑센타 2층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),삼성종합동물병원,인천광역시 서구 석남동 579-3 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),헤르젠PH컷,인천광역시 서구 가좌동 351-8 1층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),쿨펫동물병원 이마트검단점,인천광역시 서구 당하동 1065-1 당하 이마트 3층 ,2022-07-25,경제정책과,032-560-1904
동물 ( 미용 ),이카루스 팩토리,인천광역시 서구 청라동 165-12 지젤엠청라 지하1층 ,2022-07-25,경제정책과,032-560-1904
