구분,사업장명칭,소재지주소,데이터기준일자,데이터담당부서,부서전화번호
동물 ( 위탁관리 미용 ),오펫,"인천광역시 서구 승학로 584, 힘찬프라자 105호 (검암동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),펫토피아,인천광역시 서구 청라커낼로 270 (경서동),2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),Just Grooming,"인천광역시 서구 청라커낼로288번길 8-10, 청라 봄 빌딩 B108호 (경서동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),동물에반하다동물병원,"인천광역시 서구 크리스탈로102번길 22, 101호 (경서동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),헤이도그,"인천광역시 서구 청라루비로144번길 6-4, 103호 (경서동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),청라라임동물병원,"인천광역시 서구 청라라임로 102, 102~104호 (연희동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),으르렁,"인천광역시 서구 승학로 505, 4층 (검암동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),아리가독,"인천광역시 서구 신석로 52-1, 성림빌딩 (석남동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),착한퍼피,"인천광역시 서구 완정로178번길 37, 106호 (마전동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),은별이네,"인천광역시 서구 중봉대로586번길 9-11, 청라매그놀리아오피스텔 207호 (청라동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),별이네이발소,인천광역시 서구 율도로77번길 19 (신현동),2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),루이펫살롱,"인천광역시 서구 탁옥로 105, 메인프라자1차 103호 (심곡동)",2021-09-15,경제정책과,032-560-1903
동물 ( 위탁관리 미용 ),오드리 펫샵,"인천광역시 서구 청라커낼로 252, D동 109호 (청라동, 청라 롯데캐슬)",2021-09-15,경제정책과,032-560-1903
