연번,업체명,소재지
1,현대동물병원,인천광역시 중구 신흥동3가 6번지 11호  
2,참 동물병원,인천광역시 중구 내동 209번지 42호  
3,경동동물병원,인천광역시 중구 경동 240번지 60호  
4,하늘동물병원,인천광역시 중구 운서동 2789번지 2호 시에로빌 103호 
5,숲속동물병원,인천광역시 중구 중산동 1886번지 20호  
6,영종H동물의료센터,인천광역시 중구 중산동 1873번지 3호  
7,리라동물병원,인천광역시 중구 중산동 1884번지 2호  
8,위드펫동물병원,인천광역시 중구 중산동 1876번지 8호  
9,한양한방동물병원,인천광역시 중구 용동 133번지  
10,신공항동물병원,인천광역시 중구 운남동 1570번지 2호  
11,동산동물병원,인천광역시 동구 송림동 60번지 30호  
12,송림동물병원,인천광역시 동구 송림동 49번지 13호 송영빌딩 
13,웰니스 클리닉 동물병원,인천광역시 동구 송림동 296번지 2호 이마트 
14,인천종합동물병원,인천광역시 동구 송현동 99번지 15호  
15,미라클 동물병원,인천광역시 연수구 송도동 21번지 65호 현대힐스테이트 602동 143호 
16,노성남 동물병원,인천광역시 연수구 옥련동 196번지  
17,신퍼피클럽 동물병원,인천광역시 연수구 연수동 522번지 3호  
18,닥터비 동물병원,인천광역시 연수구 청학동 499번지  
19,주주동물병원,"인천광역시 연수구 송도동 4번지 1호 송도더샵퍼스트월드 E동 10,11호 "
20,프라자 동물병원,인천광역시 연수구 송도동 2번지 6호 송도프라자 117호 
21,송도건국동물병원,인천광역시 연수구 송도동 190번지 2호 송도글로벌캠퍼스푸르지오 상가 203동 207호 
22,닥터정 동물병원,인천광역시 연수구 송도동 98번지 2호 송도아라플라자 
23,동물사랑동물병원,인천광역시 연수구 선학동 407번지 9호 민선빌딩 
24,송도종합동물병원,인천광역시 연수구 옥련동 336번지 8호 청학만신당 
25,이광수동물병원,인천광역시 연수구 동춘동 936번지 6호  
26,아프리카동물병원,인천광역시 연수구 옥련동 304번지 12호  
27,따뜻한 동물병원,인천광역시 연수구 연수동 624번지 7호  
28,디오 동물병원,인천광역시 연수구 송도동 149번지 롯데캐슬캠퍼스타운 상가 A동 
29,포시즌 동물병원,인천광역시 연수구 송도동 30번지 18호 주유소 3동 2층호 
30,연수동물메디컬센터,인천광역시 연수구 연수동 600번지 5호  
31,라파엘 동물병원,인천광역시 연수구 송도동 21번지 24호  
32,아름다운 동물병원,인천광역시 연수구 송도동 3번지 29호 서운프라자 
33,인천광역시 야생동물구조관리센터,인천광역시 연수구 송도동 13번지 20호 자연학습관 
34,베리떼 동물병원,인천광역시 연수구 송도동 21번지 11호 레드원프라자 103호 
35,그루동물병원,인천광역시 연수구 연수동 536번지 동남아파트 115호 
36,ACE동물병원,인천광역시 연수구 송도동 23번지 4호 더샵 센트럴파크2 B동 101호 
37,드림동물병원,인천광역시 연수구 동춘동 937번지 11호 상산빌딩 105호 
38,투게더 동물병원,인천광역시 연수구 송도동 96번지 리치센트럴 2층 237호 
39,송도 아이본 동물의료센터,"인천광역시 연수구 동춘동 816번지 4호 1,2층 "
40,페톰스동물병원,"인천광역시 연수구 송도동 9번지 19호 에몬스프라자 2층 205,205-1호 "
41,플러스동물병원,"인천광역시 연수구 송도동 155번지 송도아메리칸타운아이파크 104동 104,105호 "
42,청아동물병원,인천광역시 연수구 청학동 451번지 시대아파트 상가동 1층 118호 
43,송도 클로버동물병원,인천광역시 연수구 송도동 10번지 7호  220호 
44,토비동물병원,인천광역시 연수구 송도동 19번지 1호 커낼워크D2 SUMMER 211호 
45,바른동물병원,인천광역시 연수구 송도동 311번지 랜드마크시티센트럴더샵 판매시설동 1층 8호 
46,모두애동물병원,인천광역시 연수구 송도동 316번지 힐스테이트 송도 더테라스 판매시설S동 170호 
47,우성동물병원,인천광역시 연수구 옥련동 563번지 7호 2층 
48,24시송도오케이동물의료센터,인천광역시 연수구 송도동 311번지 랜드마크시티센트럴더샵 261~5호 
49,웰 동물병원,인천광역시 연수구 청학동 503번지 3호 소망글로벌 109호 
50,24시 송도힐 동물메디컬센터,인천광역시 연수구 송도동 2번지 3호 이안아파트 상가동 107호 
51,Central 동물병원,인천광역시 연수구 송도동 23번지 4호 더샵센트럴파크2차상가 C동 128호 
52,웰니스클리닉 연수점,인천광역시 연수구 동춘동 926번지 9호 이마트 3층 
53,소망동물병원,인천광역시 남동구 구월동 1149번지 5호 1층 
54,애니힐동물병원,인천광역시 남동구 구월동 1526번지 1호  
55,동물의왕국 동물병원,인천광역시 남동구 구월동 1406번지 9호  
56,자연동물병원,인천광역시 남동구 구월동 1240번지 3호 외 1필지 
57,덕수동물병원,인천광역시 남동구 간석동 900번지 153호  
58,동암동물병원,인천광역시 남동구 간석동 570번지 5호  
59,정서동물병원,인천광역시 남동구 간석동  
60,도그플러스동물병원,인천광역시 남동구 간석동 616번지 3호  
61,마이펫 동물병원,인천광역시 남동구 간석동 216번지 4호  
62,D&C동물병원,인천광역시 남동구 간석동 573번지 1호 성우네오빌 105~107호 
63,젬마동물병원,인천광역시 남동구 만수동 948번지 4호  
64,신세계동물병원,인천광역시 남동구 만수동 879번지 2호  
65,하태흥반려동물의료센터,인천광역시 남동구 만수동 102번지 8호  
66,좋은 친구들 동물병원,인천광역시 남동구 만수동 869번지 11호  
67,필종합동물병원,인천광역시 남동구 남촌동 333번지 5호 1층 
68,해피동물병원,인천광역시 남동구 논현동 619번지 15호  
69,세우리동물병원,인천광역시 남동구 간석동 921번지 15호  
70,만수동물병원,인천광역시 남동구 만수동 1025번지 11호  
71,백슬동물병원,인천광역시 남동구 구월동 1130번지 CGV 홈플러스 
72,인천24시유앤미동물병원,인천광역시 남동구 간석동 210번지 9호 동성빌딩 
73,주식회사 이십사시 독스동물병원,인천광역시 남동구 간석동 210번지 2호  
74,물빛동물병원,인천광역시 남동구 서창동 687번지 1호  
75,메이동물병원,인천광역시 남동구 만수동 1118번지 1호  
76,우리애동물병원,인천광역시 남동구 논현동 671번지 1호  109호 
77,보듬동물병원,인천광역시 남동구 서창동 663번지 1호  
78,24시 소래동물병원,인천광역시 남동구 논현동 751번지 1호  
79,보람동물병원,인천광역시 남동구 구월동 1394번지 9호  
80,인천 24시 스카이동물메디컬센터,인천광역시 남동구 구월동 1608번지 신영구월지웰시티푸르지오 
81,파스텔LC동물병원,인천광역시 남동구 간석동 292번지 4호  
82,우리집동물병원,인천광역시 남동구 논현동 746번지 6호 가산타워 104호 
83,코지동물의료센터,인천광역시 남동구 논현동 672번지 4호  
84,바나나동물병원,인천광역시 남동구 구월동 1264번지  
85,조은동물병원,인천광역시 남동구 논현동 561번지 2호  
86,멍멍냐옹동물병원,인천광역시 남동구 구월동 1132번지 15호  
87,해와달동물병원,인천광역시 남동구 논현동 733번지 5호  
88,길동물병원,인천광역시 남동구 만수동 889번지 15호  
89,루이스24시동물병원,인천광역시 남동구 만수동 850번지 5호  
90,웰동물메디컬센터,인천광역시 남동구 구월동 1145번지 6호  
91,찬샘동물병원,인천광역시 남동구 구월동 1132번지 타원벨라움 
92,24시 인천동물병원 치료해주오,인천광역시 남동구 논현동 637번지 2호 코아루파크 
93,강아지와고양이나라 동물병원,인천광역시 남동구 논현동 605번지 11호  
94,논현동물병원,인천광역시 남동구 논현동 751번지 1호  
95,행복한 동물병원,인천광역시 남동구 만수동 916번지 2호  
96,해맑은동물병원,인천광역시 남동구 만수동 1079번지 3호  
97,도그앤캣동물병원,인천광역시 부평구 부평동 341번지 160호  
98,동수사랑동물병원,인천광역시 부평구 부평동 754번지 92호 롯데아이원 203호 
99,펫사랑동물병원,인천광역시 부평구 산곡동 194번지 6호  
100,백마동물병원,인천광역시 부평구 부평동 431번지 15호  102호 
101,동수동물병원,인천광역시 부평구 부평동 182번지 10호  
102,보비동물병원,인천광역시 부평구 산곡동 411번지 5호  
103,세림동물병원,인천광역시 부평구 산곡동 143번지 2호  
104,튼튼동물병원,인천광역시 부평구 청천동 386번지  
105,청천종합동물병원,인천광역시 부평구 청천동 174번지 7호  
106,짱구네동물병원,인천광역시 부평구 갈산동 59번지 5호  
107,서울종합동물병원,인천광역시 부평구 갈산동 364번지  
