연번,구분,사업장명칭,소재지 도로명주소,소재지 지번주소,전화번호,데이터기준일
1,반려동물호텔,놀러가개? 나도놀개!,인천광역시 중구 운중로14번길 28 (운남동),인천광역시 중구 운남동 412-2 ,032-752-9944,2022-08-19
2,반려동물호텔,A.N.D (에이앤디),인천광역시 중구 백운로107번길 68-7 (운남동),인천광역시 중구 운남동 598 ,032-747-0669,2022-08-19
3,반려동물호텔,숲속 동물병원,"인천광역시 중구 자연대로 40, 비젼프라자 II 109호 (중산동)",인천광역시 중구 중산동 1886-20 비젼프라자 II ,032-752-4575,2022-08-19
4,반려동물호텔,우프우프,"인천광역시 중구 하늘달빛로64번길 6-3, 스카이 메디컬 프라자 401호 (중산동)",인천광역시 중구 중산동 1874-8 스카이 메디컬 프라자 ,032-752-8588,2022-08-19
5,반려동물호텔,펫38도씨,인천광역시 중구 운중로 99 (운남동),인천광역시 중구 운남동 22-4 ,070-4145-8882,2022-08-19
6,반려동물호텔,독독,인천광역시 중구 공항서로 517 (남북동),인천광역시 중구 남북동 800-2 ,032-746-5055,2022-08-19
7,반려동물호텔,훈트가르텐,인천광역시 중구 하늘대로 683 (중산동),인천광역시 중구 중산동 1097-230 ,070-8113-0977,2022-08-19
8,반려동물호텔,개인플레이,"인천광역시 중구 운중로48번길 102, A동 (운남동)",인천광역시 중구 운남동 170-89 ,,2022-08-19
9,반려동물호텔,캐리어 끄는 댕댕이,인천광역시 중구 공항서로 463 (남북동),인천광역시 중구 남북동 785-19 ,,2022-08-19
10,반려동물호텔,나의 코코,"인천광역시 중구 백운로228번길 55, C동 (운북동)",인천광역시 중구 운북동 116-1 ,,2022-08-19
11,반려동물호텔,멍시앙,인천광역시 중구 용유서로 466 (을왕동),인천광역시 중구 을왕동 812-9 ,032-746-8843,2022-08-19
12,반려동물호텔,다모아유통,"인천광역시 중구 백운로 580, 1층 (운북동)",인천광역시 중구 운북동 796-21 ,032-752-1688,2022-08-19
13,반려동물호텔,견과류,"인천광역시 중구 논골길 5, 1층 (운북동)",인천광역시 중구 운북동 28-10 ,,2022-08-19
14,반려동물호텔,봉쥬르멍멍,"인천광역시 중구 운서로7번길 30, 1층 (운서동)",인천광역시 중구 운서동 3066-1 ,,2022-08-19
15,반려동물호텔,멜리애견유치원,"인천광역시 중구 월촌길 52, 102호 (중산동)",인천광역시 중구 중산동 1904-7 ,,2022-08-19
16,반려동물호텔,마당개 놀이터,인천광역시 중구 중산로29번길 144-22 (중산동),인천광역시 중구 중산동 1132-14 ,,2022-08-19
17,반려동물호텔,독독 2호점,"인천광역시 중구 공항서로 519, 바릴로체 2동 (남북동)",인천광역시 중구 남북동 800-1 ,,2022-08-19
18,반려동물호텔,AMI PET CONSULT,"인천광역시 중구 백운로 37, 1층 (중산동)",인천광역시 중구 중산동 1292-24 ,,2022-08-19
19,반려동물호텔,왔냥 또오개,"인천광역시 중구 홍예문로 66, 반석빌딩 1층 (전동)",인천광역시 중구 전동 22-7 반석빌딩 ,,2022-08-19
20,반려동물호텔,영종H동물의료센터,"인천광역시 중구 자연대로 47, 스타타워 2 101호 (중산동)",인천광역시 중구 중산동 1873-3 ,032-752-7515,2022-08-19
21,반려동물호텔,메이드펫,"인천광역시 중구 영종대로 118, 뉴에어포트오피스텔 103호 (운서동)",인천광역시 중구 운서동 2806-1 뉴에어포트오피스텔 ,,2022-08-19
22,반려동물호텔,같은마음,"인천광역시 중구 햇내로13번길 8, 프라임시티3 204호 (운서동)",인천광역시 중구 운서동 3091-13 프라임시티3 ,,2022-08-19
23,반려동물호텔,Happy paws,"인천광역시 중구 영종대로 893, 1층 120호 (중산동)",인천광역시 중구 중산동 1873-17 ,032-267-5004,2022-08-19
24,반려동물호텔,도그어스플래닛에듀케이션,"인천광역시 중구 하늘달빛로 90-7, 스카이에비뉴1 1001호 (중산동)",인천광역시 중구 중산동 1876-13 스카이에비뉴1 ,032-752-8189,2022-08-19
