식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
1243,왕자관,광주광역시 동구,N,N,N,N,Y,N,,매일 10:00~21:30,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,170.7670690,N,N,N,,,유니짜장
1639,신성,광주광역시 동구,N,N,N,N,Y,N,,매일 10:00~10:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,217.3782850,N,N,N,,,"상추백반,사골우거지탕,추어탕,사골곰탕"
1640,남양닭칼국수,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,649.4938260,N,N,N,,,닭 칼국수
1988,제일반점,광주광역시 동구,N,N,N,N,Y,N,,매일 09:00~21:00,N,N,N,,,,금남로4가역,35.1507100,126.9147300,233.0985650,N,N,N,,,"간짜장,짬뽕,탕수육,짜장"
2292,청하,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,109.4731280,N,N,N,,,
2589,한성,광주광역시 동구,N,N,N,N,Y,N,일요일,매일 10:00~21:30,N,N,N,,,,금남로4가역,35.1507100,126.9147300,84.4539460,N,N,N,,,"한성정식,한성회정식,한성스페셜,한성특정식"
2590,영안반점,광주광역시 동구,N,N,N,N,Y,N,,매일 10:30~21:00,N,N,N,,,,금남로4가역,35.1507100,126.9147300,117.7939200,N,N,N,,,짜장면
2591,900달러,광주광역시 동구,N,N,N,N,Y,Y,월요일,,N,N,Y,,,http://instagram.com/900dollar_bitgoeul,문화전당역(구도청),35.1464409,126.9198890,580.6575540,N,N,N,,,모든 피자 반반
2592,산탕집,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
2593,우리집,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
2594,나주곰탕,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
3004,매실옥,광주광역시 동구,N,N,N,N,Y,N,일요일,매일 12:00~21:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,331.6521980,N,N,N,,,
3841,은성반점,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,삼선짬뽕
3842,삼미관,광주광역시 동구,Y,N,N,N,Y,N,일요일,매일 11:00~20:00,N,N,N,전화예약,,http://itvplus.co.kr/home3/sammi/,문화전당역(구도청),35.1464409,126.9198890,406.4600760,N,N,N,,,짜장
3843,풍성,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
3844,케이피라인,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,http://mtsolution.co.kr/kpline,금남로4가역,35.1507100,126.9147300,322.5374150,N,N,N,,,
4841,한우방,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
4842,장성식당,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,405.8533830,N,N,N,,,
5336,반도족발선지국,광주광역시 동구,N,N,N,N,Y,N,일요일,매일 11:00~21:30,N,N,N,,,,금남로4가역,35.1507100,126.9147300,317.3069970,N,N,N,,,선지국
5337,쌍학,광주광역시 동구,N,N,N,N,Y,N,일요일,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,290.8749160,N,N,N,,,"특선정식,쌍학정식,회정식,영란정식"
5338,제이크피자,광주광역시 동구,Y,Y,N,N,Y,Y,,매일 11:00~23:00,N,N,N,전화예약,,,,,,,N,N,N,,,김치 디아볼라
5339,삼희식당,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,269.7339460,N,N,N,,,불낙
5955,수목원,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,291.0685310,N,N,N,,,
5956,금성,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
5957,수정식당,광주광역시 동구,N,N,N,N,Y,N,,매일 11:30~22:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,587.0172600,N,Y,Y,,,한우생고기
5958,거북이회관,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
6895,대밭가든,광주광역시 동구,N,N,N,N,Y,N,,매일 11:00~21:30,N,N,N,,,,,,,,N,N,N,,,옻닭
8248,오동도식당,광주광역시 동구,Y,N,N,N,Y,N,일요일,매일 11:00~22:00,N,N,N,전화예약,,,문화전당역(구도청),35.1464409,126.9198890,444.2481620,N,N,N,,,아귀찜
8249,광주식당,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,658.4132310,N,N,N,,,복탕
8250,예원,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,자장면
8252,신락원(광주본점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,138.1854220,N,N,N,,,
8253,동해바다,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,191.5631950,N,N,N,,,
8254,이조해장국,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
10003,로얄오리탕,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,518.8657830,N,N,N,,,
10005,새반도정,광주광역시 동구,N,N,N,N,Y,N,,매일 12:00~22:00,N,N,N,,,,금남로4가역,35.1507100,126.9147300,317.3069970,N,N,N,,,회정식
10006,보람식당,광주광역시 동구,N,N,N,N,N,N,,매일 10:00~20:30,N,N,N,,,,금남로4가역,35.1507100,126.9147300,410.6766110,N,N,N,,,
10007,막동이회관,광주광역시 동구,N,N,N,N,Y,N,,"매일 11:00~22:00, 일요일 11:00~21:00",N,N,N,,,,소태역,35.1230319,126.9325690,275.5099650,N,N,N,,,안심추리
10008,물레방아보리밥,광주광역시 동구,N,N,N,N,Y,N,주말,평일 11:00~15:00,N,N,N,,,,,,,,N,N,N,,,보리밥
10009,팔도강산,광주광역시 동구,N,N,N,N,Y,N,토요일,,N,N,N,,,,,,,,N,N,N,,,보리밥
11700,송림원엄마손고등어,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,444.2481620,N,N,N,,,
11701,코보네자연산회쎈타,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
11702,낙지한마당,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,286.1968840,N,N,N,,,연포탕
11703,청해식당,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,662.9736740,N,N,N,,,
11705,양만휘해물생합칼국수(본점),광주광역시 동구,N,N,N,N,Y,N,,매일 11:00~21:00,N,N,N,,,,,,,,N,N,N,,,해물생합칼국수
11706,영빈식당,광주광역시 동구,N,N,N,N,Y,N,,매일 11:30~20:00,N,N,N,,,,,,,,N,N,N,,,보리밥
11707,김밥천국(충장점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
11708,금강해물탕,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,352.8140070,N,N,N,,,종합사시미
13656,아리랑하우스,광주광역시 동구,Y,Y,N,N,Y,Y,,매일 12:00~21:30,N,N,N,전화예약,,http://www.ariranghouse.net/,,,,,N,N,N,,,"한정식 B코스,한정식 C코스,굴비정식,한정식 A코스"
13657,종가집,광주광역시 동구,N,N,N,N,Y,N,,매일 12:00~21:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,472.1858340,N,N,N,,,김치찌개
13658,풍성한식당,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
13659,소문난튀김전문,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,금남로4가역,35.1507100,126.9147300,518.3414300,N,N,N,,,모듬튀김
13660,오복식당,광주광역시 동구,Y,Y,N,N,Y,N,,매일 07:30~20:30,N,N,N,전화예약,,https://www.instagram.com/obok_gomtang/,,,,,N,N,N,,,곰탕
13661,청실홍실,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
13662,팔도가든,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,한방옻닭
