연번,업체명,소재지,전화번호
1,영재애견종합병원,광주광역시 동구 필문대로 130-1 (산수동),062-527-8275
2,황제 동물병원,광주광역시 동구 의재로 27 (학동),062-227-1023
3,신세계 동물병원,광주광역시 동구 중앙로 150 (호남동),062-226-7585
4,광주 한사랑동물병원,광주광역시 동구 남문로 675 (학동),062-223-0075
5,튼튼동물병원,"광주광역시 동구 중앙로 358, 상가동 149호 (계림동, 금호계림주상복합)",062-511-7582
6,현동물병원,광주광역시 동구 남문로 732,062-222-7585
7,24시노아동물메디컬센터,광주광역시 동구 독립로 292(대인동),062-222-0075
8,다나동물병원,광주광역시 서구 죽봉대로 42 (농성동),062-365-1491
9,쿨펫동물병원,"광주광역시 서구 시청로 40, 4층 (치평동, 롯데마트)",
10,푸른동물병원,광주광역시 서구 상일로 44 (쌍촌동),062-375-1613
11,프렌즈동물병원,"광주광역시 서구 상무민주로 90, 2층 (쌍촌동)",062-374-0128
12,윌 동물외상센터,광주광역시 서구 운천로 110-1 (쌍촌동),062-383-7595
13,페츠온 동물병원,"광주광역시 서구 치평로 76, 102호 (치평동)",062-381-8270
14,현대동물병원,광주광역시 서구 상무대로 1045 (화정동),062-373-5293
15,가로수동물병원,광주광역시 서구 월드컵4강로 88 (화정동),062-372-7975
16,좋은동물병원,광주광역시 서구 운천로 29 (금호동),062-382-7588
17,펫프렌즈동물병원,"광주광역시 서구 금화로 240, 3층 (풍암동, 롯데마트)",062-653-7553
18,한결동물의료센터,광주광역시 서구 풍암순환로188번길 15 (풍암동),062-652-8275
19,금호동물병원,광주광역시 서구 금화로 54 (금호동),062-383-7572
20,유림동물병원,광주광역시 서구 하남대로 672 (동천동),062-527-7588
21,하나로동물병원,"광주광역시 서구 상무중앙로 64, 1층 (치평동, 아주빌딩)",062-371-0750
22,Dr.남동물병원,광주광역시 서구 월드컵4강로 58 (화정동),062-236-0575
23,광주축산농협 동물병원,광주광역시 서구 마륵로 68,062-228-1083
24,베스트고양이병원,"광주광역시 서구 상무대로868번길 2, 4층 (쌍촌동)",062-384-7582
25,광주24시스카이동물메디컬센터,"광주광역시 서구 상무대로 879, 두왕빌딩 3,4,5층 (쌍촌동)",062-719-4275
26,광주광역시 야생동물구조관리센터,광주광역시 서구 무진대로 576 (유촌동),062-613-6651
27,미유펫동물병원,"광주광역시 서구 마륵복개로 157, 101동 B102-2호 (쌍촌동)",062-381-3733
28,본펫동물병원,광주광역시 서구 무진대로 945-1 (광천동),062-447-8575
29,로하동물병원,광주광역시 서구 상무민주로76번길 8-1 (쌍촌동),062-371-7512
30,화정힐동물병원,"광주광역시 서구 화정로 211 (화정동, 유니버시아드힐스테이트2단지)",062-382-8575
31,바른동물병원,"광주광역시 서구 하남대로 704 (동천동, 지선빌딩)",062-523-5353
32,제일말전문병원,"광주광역시 서구 매월2로 53, 12동 127호 (매월동, 광주산업용재유통센터)",
33,어울림동물병원,광주광역시 서구 회재로 888 (풍암동),062-362-2882
34,마루동물병원,광주광역시 서구 금화로 71 (금호동),062-384-5445
35,베스트동물병원,광주광역시 서구 상무대로 866 (쌍촌동),062-375-5110
36,사랑가득 동물병원,광주광역시 서구 풍금로38번길 59 (풍암동),062-655-7975
37,백제동물병원,광주광역시 서구 죽봉대로 135 (광천동),062-368-8288
38,최광호동물병원,광주광역시 남구 방림로 10 (방림동),062-673-4047
39,고려동물병원,광주광역시 남구 용대로 154-2 (방림동),
40,봉선동물병원,광주광역시 남구 봉선중앙로 94 (봉선동),
41,비타동물의료센터,광주광역시 남구 주월동 1279번지 20호 JM빌딩,062-675-7600
42,센트럴,광주광역시 남구 봉선로 198 (봉선동),062-682-7553
