식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명,식당상태
1529,서해 아구찜,전라남도 목포시,0,0,N,N,N,N,Y,N,화요일,매일 07:00~10:00,N,N,N,전화예약,,,노적봉,34.78693,126.3846,88.841682,N,N,N,,운영중
1531,영해복집,전라남도 목포시,36,40,N,N,N,N,Y,N,,평일 08:00~20:00,N,N,N,N,,,노적봉,34.78693,126.3846,191.365253,N,N,N,,운영중
1697,우리수산,전라남도 목포시,0,0,Y,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,"참돔, 농어, 광어",운영중
1739,주일회포차,전라남도 목포시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,미확인
2083,가락지죽집,전라남도 목포시,0,0,N,N,N,N,Y,N,,매일 10:00~20:30,N,N,N,N,,,노적봉,34.78693,126.3846,473.911974,N,N,N,,운영중
2383,동건이네식육식당,전라남도 목포시,0,0,N,N,N,N,Y,N,,매일 17:00~24:00,N,N,Y,N,,,노을공원,34.80896,126.3658,952.89007,N,N,N,,운영중
2496,노랑통닭 용해점,전라남도 목포시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
2735,한양촌닭,전라남도 목포시,0,32,N,N,N,N,Y,N,,,N,N,N,N,,,갓바위 문화타운,34.79368,126.421,23.067214,N,N,N,,운영중
3081,보리마당,전라남도 목포시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,미확인
3116,만호유달횟집,전라남도 목포시,0,96,Y,N,N,N,Y,N,연중무휴,매일 10:30~21:00,N,N,N,전화예약,,http://www.mhyudal.com/,노적봉,34.78693,126.3846,84.162598,N,N,N,,운영중
3119,조광식당,전라남도 목포시,0,0,N,N,N,N,Y,N,일요일,,N,N,N,전화예약,,,노적봉,34.78693,126.3846,49.160877,N,N,N,,운영중
3502,성식당,전라남도 목포시,0,0,N,N,N,N,Y,N,목요일,"매일 11:00~20:00, Time 15:30~17:00",N,N,Y,N,,,노적봉,34.78693,126.3846,189.45968,N,N,N,,운영중
4180,샘식당,전라남도 목포시,0,32,N,N,N,N,Y,N,,,N,N,Y,N,,http://ok114.co.kr/0612433647,멜라콩다리 비석,34.7939,126.3879,286.901306,N,N,N,,운영중
4183,서울숯불갈비,전라남도 목포시,9,0,N,N,N,N,Y,N,,,N,N,N,N,,,노적봉,34.78693,126.3846,135.448505,N,N,N,,운영중
4184,옥암식당,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
5528,명화반점,전라남도 목포시,26,16,N,N,N,N,Y,N,,,N,N,N,N,,,목포 관광특구,34.81188,126.3923,942.532096,N,N,N,,운영중
5529,춘광식당 ,전라남도 목포시,0,32,N,N,N,N,Y,N,일요일,매일 09:00~21:00,N,N,N,N,,,노적봉,34.78693,126.3846,230.272349,N,N,N,,운영중
6344,지도리치킨북항점,전라남도 목포시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
7314,대림반점,전라남도 목포시,16,0,Y,N,N,N,Y,N,연중무휴,매일 11:00~21:00,N,N,Y,N,,,목포 관광특구,34.81188,126.3923,434.629439,N,N,N,,운영중
