사업장명,인허가일자,영업상태명,소재지전화,도로명주소,지번주소,위도,경도,데이터기준일자
21세기 동물병원,1999-03-17,영업/정상,063-251-1015,전라북도 전주시 덕진구 시천로 26 (송천동1가),전라북도 전주시 덕진구 송천동1가 626-42,35.86154545,127.1149377,2022-06-30
24시 올리몰스 동물 메디컬 센터,2017-03-22,영업/정상,063-275-7979,전라북도 전주시 덕진구 송천중앙로 213 (송천동1가),전라북도 전주시 덕진구 송천동1가 809-3,35.86602374,127.1212119,2022-06-30
MVP동물병원,2018-12-26,영업/정상,063-227-8575,"전라북도 전주시 완산구 세내로 285, 샘물아동병원 1층 108호 (효자동3가)",전라북도 전주시 완산구 효자동3가 1542-1,35.81554866,127.1114225,2022-06-30
개린이 동물병원,2021-04-22,영업/정상,,전라북도 전주시 완산구 서원로 168 (효자동2가),전라북도 전주시 완산구 효자동3가 37-71,35.81327638,127.1129002,2022-06-30
늘푸른 동물병원,2001-04-26,영업/정상,063-281-0075,전라북도 전주시 완산구 충경로 11 (다가동3가),전라북도 전주시 완산구 다가동3가 24-9,35.81692254,127.1407278,2022-06-30
닥터펫동물병원,2016-05-27,영업/정상,063-272-0075,전라북도 전주시 완산구 백제대로 378 (서신동),전라북도 전주시 완산구 서신동 산 997-8,35.82687266,127.1230466,2022-06-30
대영동물병원,2007-08-06,영업/정상,063-246-7155,전라북도 전주시 덕진구 동부대로 582 (산정동),전라북도 전주시 덕진구 산정동 800-11,35.84250145,127.1672353,2022-06-30
더펫 동물병원,2019-02-26,영업/정상,070-4113-7566,전라북도 전주시 덕진구 한배미1길 61 (인후동1가),전라북도 전주시 덕진구 인후동1가 948-3,35.82278092,127.1678919,2022-06-30
데이지동물병원,2014-05-01,영업/정상,063-225-7588,전라북도 전주시 완산구 거마평로 170 (효자동1가),전라북도 전주시 완산구 효자동1가 388,35.80774938,127.1164072,2022-06-30
동물치유쉼터,2016-08-01,영업/정상,063-281-6740,"전라북도 전주시 덕진구 소리로 68 (덕진동1가, 전주동물원)",전라북도 전주시 덕진구 덕진동1가 산 36-8,35.85730635,127.1440769,2022-06-30
동부 동물병원,1998-03-04,영업/정상,063-231-2455,전라북도 전주시 완산구 기린대로 139 (경원동3가),전라북도 전주시 완산구 경원동3가 3-10,35.82098483,127.1520961,2022-06-30
마루 동물병원,2005-05-04,영업/정상,063-276-7500,전라북도 전주시 완산구 감나무3길 4 (서신동),전라북도 전주시 완산구 서신동 780-4,35.83081417,127.1223871,2022-06-30
메이동물메디컬센터,2015-04-30,영업/정상,063-285-7975,전라북도 전주시 완산구 백제대로 332(중화산동2가),전라북도 전주시 완산구 중화산동2가 261-14,35.82267259,127.1232395,2022-06-30
모래내 동물병원,2005-07-04,영업/정상,063-274-7500,전라북도 전주시 덕진구 안덕원로 165 (인후동2가),전라북도 전주시 덕진구 인후동2가 234-1,35.83392562,127.1459333,2022-06-30
바우동물병원,2006-03-15,영업/정상,,전라북도 전주시 덕진구 견훤로 491 (우아동3가),전라북도 전주시 덕진구 우아동3가 602-1,35.85446747,127.155094,2022-06-30
박영재 동물병원,1992-07-08,영업/정상,,전라북도 전주시 완산구 전주천서로 111 (서서학동),전라북도 전주시 완산구 서서학동 942-8,35.81009521,127.149184,2022-06-30
사라 양한방 동물병원,2018-07-27,영업/정상,063-901-7582,전라북도 전주시 덕진구 벚꽃로 21 (진북동),전라북도 전주시 덕진구 진북동 434-91,35.82888457,127.1320969,2022-06-30
사랑플러스 동물병원,2018-07-06,영업/정상,,전라북도 전주시 덕진구 쪽구름2길 3 (반월동),전라북도 전주시 덕진구 반월동 236-11,35.87328642,127.0754931,2022-06-30
산책동물병원,2005-03-09,영업/정상,063-244-7509,전라북도 전주시 덕진구 건산로 290 (우아동2가),전라북도 전주시 덕진구 우아동2가 866-11,35.83589751,127.1687682,2022-06-30
서신 동물병원,1997-10-23,영업/정상,063-253-2747,전라북도 전주시 완산구 서신로 33 (서신동),전라북도 전주시 완산구 서신동 831-4,35.82836947,127.1155947,2022-06-30
송 동물의료센터,2004-10-02,영업/정상,063-247-6677,전라북도 전주시 덕진구 견훤로 247 (인후동1가),전라북도 전주시 덕진구 인후동1가 448-36,35.83383085,127.1575322,2022-06-30
수종합24시 동물병원,2004-02-26,영업/정상,063-273-7272,전라북도 전주시 완산구 백제대로 400 (서신동),전라북도 전주시 완산구 서신동 28,35.8288707,127.1230891,2022-06-30
스누피 동물병원,2003-02-28,영업/정상,063-241-7275,전라북도 전주시 덕진구 안덕원로 238 (인후동1가),전라북도 전주시 덕진구 인후동1가 772-1,35.83619839,127.1530501,2022-06-30
스마일동물병원,2017-03-13,영업/정상,063-273-1202,전라북도 전주시 덕진구 천마산로 65 (송천동2가),전라북도 전주시 덕진구 송천동2가 202-59,35.86491473,127.1282616,2022-06-30
아리랑동물메디컬센터,1992-10-09,영업/정상,063-223-5311,"전라북도 전주시 완산구 서원로 294, 마리앤스튜디오 1,2층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 535-4,35.81160156,127.1264818,2022-06-30
아이들 동물병원,2021-04-05,영업/정상,063-273-5575,"전라북도 전주시 덕진구 만성중앙로 25, 미네르바빌딩 1층 101,102,103호 (만성동)",전라북도 전주시 덕진구 만성동 1366-3,35.84399986,127.0746575,2022-06-30
아프리카 동물병원,2009-06-03,영업/정상,063-247-8874,전라북도 전주시 덕진구 아중로 142 (인후동1가),전라북도 전주시 덕진구 인후동1가 928-1,35.82553371,127.1653043,2022-06-30
에코동물병원,2019-03-20,영업/정상,063-251-7975,"전라북도 전주시 덕진구 세병로 41, B104호 (송천동2가, 에코시티 데시앙 4블럭)",전라북도 전주시 덕진구 송천동2가 1311,35.87440204,127.1298461,2022-06-30
우리동물병원,1996-07-16,영업/정상,063-226-3333,전라북도 전주시 완산구 용머리로 86 (효자동1가),전라북도 전주시 완산구 효자동1가 276-7,35.80616803,127.1194331,2022-06-30
웰동물병원,2007-03-06,영업/정상,063-227-8275,전라북도 전주시 완산구 서원로 72 (효자동2가),전라북도 전주시 완산구 효자동2가 1255-2,35.81339386,127.10238,2022-06-30
유앤아이동물병원,2013-03-18,영업/정상,,전라북도 전주시 완산구 온고을로 102 (서신동),전라북도 전주시 완산구 서신동 959-2,35.83414316,127.1117392,2022-06-30
이엘 동물병원,2004-10-07,영업/정상,063-283-6364,전라북도 전주시 완산구 장승배기로 321 (서서학동),전라북도 전주시 완산구 서서학동 367-37,35.80140144,127.1461872,2022-06-30
이지동물병원,2016-01-29,영업/정상,063-211-6677,전라북도 전주시 덕진구 쪽구름2길 16-2 (동산동),전라북도 전주시 덕진구 동산동 682-23,35.87413225,127.0761983,2022-06-30
자스민 동물병원,2019-05-27,영업/정상,063-276-3939,"전라북도 전주시 덕진구 백석로 18, 103호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1358-3,35.87102921,127.1362623,2022-06-30
전북 동물병원,2003-04-11,영업/정상,063-255-4567,전라북도 전주시 덕진구 기린대로 284 (진북동),전라북도 전주시 덕진구 진북동 342-6,35.8308252,127.1412579,2022-06-30
전주김제완주축협 부속동물병원,1998-03-21,영업/정상,063-240-2888,전라북도 전주시 덕진구 동부대로 769 (호성동1가),전라북도 전주시 덕진구 호성동1가 711-4,35.85669148,127.1563598,2022-06-30
전주동물병원,2012-11-02,영업/정상,063-255-0630,전라북도 전주시 완산구 세내로 509-1 (효자동3가),전라북도 전주시 완산구 효자동3가 1480-3,35.8321512,127.1028548,2022-06-30
코끼리 동물병원,2017-11-08,영업/정상,063-245-7975,전라북도 전주시 완산구 중화산로 100 (중화산동2가),전라북도 전주시 완산구 중화산동2가 591-10,35.81925274,127.1183272,2022-06-30
코끼리 동물병원,2014-02-10,영업/정상,063-902-7975,전라북도 전주시 완산구 모악로 4769 (평화동1가),전라북도 전주시 완산구 평화동1가 708-4,35.795077,127.1321811,2022-06-30
