식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명,식당상태
1606,피자애 송천점,전라북도 전주시,12,0,Y,Y,N,N,N,N,연중무휴,,N,N,N,N,,,,,,,N,N,N,"불고기피자, 고구마피자",미확인
1681,진미반점,전라북도 전주시,160,10,Y,N,N,N,Y,N,,매일 10:00~21:30,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,126.816576,N,N,N,,운영중
2691,한국식당,전라북도 전주시,28,76,N,N,N,N,Y,N,,매일 11:00~20:00,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,60.032507,N,N,N,,운영중
2999,비공식,전라북도 전주시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,미확인
3101,PNB풍년제과 본점,전라북도 전주시,0,0,N,N,N,N,Y,N,연중무휴,매일 08:00~22:30,N,N,Y,N,레드테이블,http://pnb본점.com/,객사길,35.81762,127.1437,118.41107,N,N,N,,운영중
3103,가람나주곰탕,전라북도 전주시,52,0,Y,N,N,N,Y,N,화요일,매일 11:00~24:00,N,N,Y,N,레드테이블,,건지산,35.8294,127.1344,893.998932,N,N,N,,운영중
4121,태봉집,전라북도 전주시,40,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,201.41046,N,N,N,,운영중
4124,대성회관,전라북도 전주시,36,64,N,N,N,N,Y,N,,매일 09:00~22:00,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,143.393762,N,N,N,,운영중
4465,엘디아,전라북도 전주시,0,0,Y,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,폐업
4995,피자브릭,전라북도 전주시,76,0,Y,Y,Y,N,Y,Y,,"매일 11:00~22:00, 평일 11:00~22:00",N,N,Y,전화예약,레드테이블,http://makeus.net/33350,객사길,35.81762,127.1437,199.282596,N,N,N,,운영중
4997,한미반점,전라북도 전주시,12,24,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,261.993148,N,N,N,,운영중
5127,별란통갈비 앤 치킨,전라북도 전주시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,미확인
5500,신한양불고기,전라북도 전주시,0,58,N,N,N,N,Y,N,연중무휴,매일 11:00~23:00,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,107.688318,N,N,N,,운영중
5506,양기복집,전라북도 전주시,44,8,N,N,N,N,Y,N,,,N,N,Y,N,레드테이블,,건지산,35.8294,127.1344,138.653366,N,N,N,,운영중
6169,전주밥상,전라북도 전주시,100,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,257.189163,N,N,N,,운영중
6170,시장집,전라북도 전주시,30,0,N,N,N,N,Y,N,,매일 16:00~21:00,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,248.639562,N,N,N,,운영중
7238,일품향,전라북도 전주시,44,0,N,N,N,N,Y,N,,매일 11:00~21:00,N,N,Y,N,레드테이블,,객사길,35.81762,127.1437,46.533938,N,N,N,,운영중
7241,전라회관,전라북도 전주시,0,80,N,N,N,N,Y,N,,매일 12:00~21:30,N,N,N,N,레드테이블,,정혜사(전주),35.80426,127.1391,759.149404,N,N,N,,운영중
7242,메르밀 진미집,전라북도 전주시,72,0,Y,N,N,N,Y,Y,연중무휴,매일 10:00~19:30,N,N,Y,N,레드테이블,https://smartstore.naver.com/mjinmi,객사길,35.81762,127.1437,188.577625,N,N,N,,운영중
7243,신한성원,전라북도 전주시,48,0,N,N,N,N,Y,N,일요일,매일 11:00~21:00,N,N,Y,N,레드테이블,,객사길,35.81762,127.1437,606.462849,N,N,N,,운영중
7251,짬뽕명가,전라북도 전주시,0,0,Y,N,N,N,Y,Y,,매일 10:00~21:00,N,N,Y,전화예약,,http://www.odr.kr/mmmwkb,덕진공원,35.8475,127.121,84.835416,N,N,N,,운영중
8381,안티코,전라북도 전주시,40,0,N,Y,N,N,N,N,화요일,,N,N,N,N,,,,,,,N,N,N,"아인슈페너, 복숭아송송 아이스티",운영중
8797,성미당,전라북도 전주시,0,140,Y,Y,N,N,Y,Y,월요일,,N,N,Y,N,레드테이블,http://seongmidang.modoo.at/,객사길,35.81762,127.1437,103.238449,N,N,N,,운영중
8798,꼬꼬영양통닭,전라북도 전주시,12,0,N,N,N,N,Y,N,일요일,,N,N,Y,N,레드테이블,,객사길,35.81762,127.1437,123.784749,N,N,N,,운영중
8799,또순이네집,전라북도 전주시,8,40,N,N,N,N,Y,N,,매일 10:00~24:00,N,N,N,N,레드테이블,,객사길,35.81762,127.1437,167.954493,N,N,N,,운영중
8800,신시골집,전라북도 전주시,60,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,건지산,35.8294,127.1344,551.057202,N,N,N,,운영중
8805,덕천식당,전라북도 전주시,30,12,N,N,N,N,Y,N,일요일,매일 07:30~20:30,N,N,N,N,레드테이블,,조경단,35.84538,127.1207,693.636375,N,N,N,,운영중
9727,더플라잉팬,전라북도 전주시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,미확인
9983,참치라이더 전주도청점,전라북도 전주시,64,0,Y,Y,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,"참차한마리, 눈다랑어통모리, 뱃살시리즈한판",폐업
10433,"또와, 롱",전라북도 전주시,6,0,N,Y,N,N,N,N,"일요일, 추석, 설날",,N,N,N,N,,,,,,,N,N,N,"돼지바 마카롱, 솔티 카라멜 마카롱, 티라미수 마카롱",운영중
10451,전주초밥,전라북도 전주시,0,0,Y,N,N,N,Y,N,연중무휴,평일 11:30~22:30,N,N,N,전화예약,,,객사길,35.81762,127.1437,82.638275,N,N,N,,운영중
10455,반야돌솥밥,전라북도 전주시,100,100,Y,N,N,N,Y,Y,,매일 10:30~21:00,N,Y,Y,전화예약,레드테이블,,전북도청도서관,35.82033,127.1088,604.262866,N,N,N,,운영중
