연번,시도명,시군구명,읍면동명,업체명,지번,연락처,신고일자,형태,위도,경도,데이터기준일자
1,제주특별자치도,제주시,도남동,24시동물병원,제주특별자치도 제주시 도남동 81-7,064-702-2475,2003-11-08,반려,33.492684,126.530013,2021-12-21
2,제주특별자치도,제주시,연동,24시똑똑똑 동물메디컬센터,제주특별자치도 제주시 연동 2333-8,064-749-7585,2018-03-30,반려,33.493016,126.490746,2021-12-21
3,제주특별자치도,제주시,애월읍,KRA 렛츠런파크제주 동물병원,제주특별자치도 제주시 애월읍 유수암리 1206,064-786-8341,2008-10-08,산업,33.409067,126.395322,2021-12-21
4,제주특별자치도,제주시,삼도이동,강남동물병원,제주특별자치도 제주시 삼도이동 214-20,064-723-2005,2003-12-05,반려,33.50887,126.523462,2021-12-21
5,제주특별자치도,제주시,구좌읍,교래 말 전문병원,제주특별자치도 제주시 구좌읍 세화리 1972,000-0000-0000,2003-05-12,산업,33.501314,126.844155,2021-12-21
6,제주특별자치도,제주시,오등동,국립축산과학원 난지축산연구소 동물병원,제주특별자치도 제주시 오등동 산 175,064-754-5700,2017-04-17,산업,33.429209,126.546696,2021-12-21
7,제주특별자치도,제주시,한림읍,굿데이 동물병원,제주특별자치도 제주시 한림읍 금악리 198-80,000-0000-0000,2018-04-04,산업,33.359265,126.337975,2021-12-21
8,제주특별자치도,제주시,한림읍,금악동물병원,제주특별자치도 제주시 한림읍 금악리 2031-22,064-796-8275,2015-08-24,산업,33.360758,126.297743,2021-12-21
9,제주특별자치도,제주시,노형동,꿈동물병원,제주특별자치도 제주시 노형동 2924-2,064-744-1128,2002-01-21,반려,33.484137,126.464903,2021-12-21
10,제주특별자치도,제주시,아라일동,나아라 동물병원,제주특별자치도 제주시 아라일동 6096-3,064-799-7582,2015-09-10,반려,33.475368,126.544743,2021-12-21
11,제주특별자치도,제주시,노형동,나음동물병원,제주특별자치도 제주시 노형동 711-5,064-747-7585,2017-06-21,반려,33.481683,126.483086,2021-12-21
12,제주특별자치도,제주시,삼도이동,남문동물병원,제주특별자치도 제주시 삼도이동 220-7,064-758-4070,1999-10-16,반려,33.508212,126.523878,2021-12-21
13,제주특별자치도,제주시,노형동,노형동물병원,제주특별자치도 제주시 노형동 683-1,064-759-7975,2015-12-22,반려,33.475974,126.481469,2021-12-21
14,제주특별자치도,제주시,일도이동,다나동물병원,제주특별자치도 제주시 일도이동 359-13,064-757-7577,1998-05-14,반려,33.506986,126.539508,2021-12-21
15,제주특별자치도,제주시,한림읍,다호문가축병원,제주특별자치도 제주시 한림읍 한림리 1454-3호 영성주택 ,064-796-2050,1961-07-01,산업,33.411844,126.263227,2021-12-21
16,제주특별자치도,제주시,용담일동,동물병원 퍼피하우스,제주특별자치도 제주시 용담일동 220-21,064-721-5703,2009-03-20,반려,33.509757,126.516073,2021-12-21
17,제주특별자치도,제주시,연동,동심동물병원,제주특별자치도 제주시 연동 293-43,064-744-1030,1994-06-11,반려,33.485878,126.495223,2021-12-21
18,제주특별자치도,제주시,노형동,라이프동물병원,제주특별자치도 제주시 노형동 3794-6,064-746-7579,2018-12-29,반려,33.482636,126.476006,2021-12-21
19,제주특별자치도,제주시,조천읍,로얄말전문병원,제주특별자치도 제주시 조천읍 교래리 101-6,000-0000-0000,2014-11-27,산업,33.431976,126.710877,2021-12-21
20,제주특별자치도,제주시,연동,리더스동물병원,제주특별자치도 제주시 연동 293-19 두성빌딩 ,064-749-7533,2012-08-23,반려,33.485899,126.494227,2021-12-21
21,제주특별자치도,제주시,애월읍,마리네 동물병원,제주특별자치도 제주시 애월읍 유수암리 1969,064-799-4575,2016-08-31,반려,33.441953,126.398867,2021-12-21
22,제주특별자치도,제주시,조천읍,마야동물병원,제주특별자치도 제주시 조천읍 교래리 221,064-753-2007,2014-03-13,산업,33.425377,126.675387,2021-12-21
23,제주특별자치도,제주시,외도일동,백록동물병원,제주특별자치도 제주시 외도일동 640-2 해마루풍경 ,064-747-1375,2013-10-18,반려,33.484191,126.427117,2021-12-21
24,제주특별자치도,제주시,애월읍,봄이든 동물병원,제주특별자치도 제주시 애월읍 하귀1리 492-8,064-745-9975,2014-12-26,반려,33.486102,126.412113,2021-12-21
25,제주특별자치도,제주시,노형동,브이동물메디컬센터,제주특별자치도 제주시 노형동 3783,064-803-0038,2020-11-20,반려,33.484588,126.479801,2021-12-21
26,제주특별자치도,제주시,도련일동,삼화 우수한동물병원,제주특별자치도 제주시 도련일동 1995-6 삼광빌딩 ,064-702-2670,2018-03-05,반려,33.513451,126.580926,2021-12-21
27,제주특별자치도,제주시,화북일동,삼화 훈 동물병원,제주특별자치도 제주시 화북일동 1221-2,064-756-8275,2019-05-02,반려,33.518766,126.572722,2021-12-21
28,제주특별자치도,제주시,삼도일동,서사라동물병원,제주특별자치도 제주시 삼도일동 569-18,064-702-1275,2006-04-10,반려,33.499122,126.519624,2021-12-21
29,제주특별자치도,제주시,화북이동,서원동물병원,제주특별자치도 제주시 화북이동 4942-6,064-721-3966,2008-10-27,산업,33.512531,126.551367,2021-12-21
